INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
36,0,0,0,40,2,0,,No,"$98,777",Yes,z_F,Masters,Home Maker,15,Private,"$14,130",6,z_SUV,no,"$38,127",2,Yes,4,12,z_Highly Rural/ Rural
38,0,0,0,49,0,5,"$49,244",No,"$163,444",Yes,M,Bachelors,Clerical,30,Private,"$15,880",1,Minivan,no,$0,0,No,1,1,Highly Urban/ Urban
40,0,0,0,52,0,8,"$51,278",No,"$230,340",Yes,z_F,Bachelors,Professional,37,Private,"$1,500",4,z_SUV,no,$0,0,No,1,10,Highly Urban/ Urban
41,0,0,0,41,0,7,"$92,842",No,"$286,113",z_No,M,Masters,,12,Commercial,"$25,810",6,Panel Truck,no,"$1,431",2,No,5,15,Highly Urban/ Urban
42,0,0,0,39,0,10,"$35,081",No,"$202,839",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640",4,Van,yes,$0,0,No,0,13,Highly Urban/ Urban
43,0,0,0,56,0,0,$0,No,"$63,827",Yes,z_F,PhD,Home Maker,65,Private,"$13,220",1,Minivan,no,$0,0,No,0,12,z_Highly Rural/ Rural
44,0,0,0,49,0,12,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0,No,0,14,Highly Urban/ Urban
45,0,0,0,38,0,11,"$37,754",No,"$138,823",Yes,z_F,z_High School,Clerical,47,Private,"$12,080",1,z_SUV,no,$0,0,No,2,9,z_Highly Rural/ Rural
46,0,0,0,43,2,17,"$145,353",No,"$418,785",Yes,z_F,Masters,,38,Commercial,"$29,450",6,Van,no,$0,0,No,0,15,Highly Urban/ Urban
48,0,0,0,63,0,15,"$121,398",No,"$343,410",Yes,z_F,PhD,Doctor,10,Private,"$16,270",1,z_SUV,no,$0,0,No,0,11,Highly Urban/ Urban
49,0,0,0,52,0,0,$0,No,"$87,925",z_No,z_F,z_High School,Student,48,Commercial,"$9,280",1,z_SUV,no,$0,0,No,1,6,z_Highly Rural/ Rural
50,0,0,0,35,0,7,"$14,508",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,450",1,Pickup,no,$0,0,No,0,7,Highly Urban/ Urban
51,0,0,0,43,0,13,"$75,338",No,"$270,555",Yes,z_F,Bachelors,Manager,40,Private,"$23,080",1,Sports Car,no,$0,0,No,0,8,Highly Urban/ Urban
52,0,0,0,41,0,10,"$32,774",No,$0,z_No,z_F,z_High School,Clerical,44,Private,"$20,120",4,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural
53,0,0,0,40,0,11,"$57,474",No,"$186,418",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270",4,Panel Truck,yes,$0,0,No,1,5,Highly Urban/ Urban
54,0,0,0,31,1,12,"$26,520",No,"$154,493",Yes,M,Bachelors,Student,62,Commercial,"$4,600",6,Minivan,yes,$0,0,No,2,5,Highly Urban/ Urban
55,0,0,0,47,0,8,"$18,444",No,$0,Yes,z_F,z_High School,Student,35,Commercial,"$19,450",6,z_SUV,no,"$2,981",2,No,5,,Highly Urban/ Urban
56,0,0,0,53,0,,"$107,259",No,"$343,700",Yes,M,Masters,Professional,36,Private,"$29,230",10,Minivan,yes,$0,0,No,0,15,Highly Urban/ Urban
57,0,0,0,39,3,7,"$34,046",No,"$183,383",Yes,z_F,z_High School,Clerical,33,Private,"$4,040",6,z_SUV,no,$0,0,No,0,5,z_Highly Rural/ Rural
58,0,0,0,33,3,14,"$32,364",No,"$152,894",Yes,M,<High School,Clerical,40,Private,"$12,270",18,Minivan,yes,$0,0,No,3,1,Highly Urban/ Urban
59,0,0,0,59,0,5,"$106,775",No,,z_No,M,Masters,Lawyer,10,Private,"$31,930",1,Minivan,yes,$0,0,No,0,,Highly Urban/ Urban
61,1,6100,0,40,0,11,"$16,989",No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230",4,Pickup,yes,"$26,104",1,Yes,13,6,Highly Urban/ Urban
65,1,8840.6835683,0,44,2,15,"$16,352",No,"$134,164",Yes,z_F,z_High School,Home Maker,37,Private,"$10,520",1,z_SUV,no,"$7,838",1,No,1,1,Highly Urban/ Urban
66,0,0,0,56,0,16,"$44,760",No,"$164,852",Yes,M,Bachelors,Manager,30,Private,"$21,770",13,Minivan,yes,$0,0,No,0,6,Highly Urban/ Urban
67,1,2117,1,45,1,14,"$63,952",No,"$196,368",Yes,z_F,Masters,Lawyer,50,Private,"$32,340",6,Van,no,"$27,877",2,Yes,0,13,Highly Urban/ Urban
69,0,0,0,48,0,,,No,"$252,896",Yes,M,Bachelors,Professional,14,Commercial,"$28,560",13,Panel Truck,yes,"$1,554",5,No,1,10,Highly Urban/ Urban
70,1,3532,1,44,2,,"$24,060",Yes,$0,z_No,M,Bachelors,Clerical,24,Private,"$14,220",4,Minivan,no,$0,0,No,0,10,Highly Urban/ Urban
71,1,866,0,33,4,12,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,1,Highly Urban/ Urban
72,0,0,0,32,3,14,"$54,968",No,"$146,784",Yes,z_F,z_High School,Professional,20,Private,"$10,040",4,z_SUV,no,$0,0,Yes,0,8,Highly Urban/ Urban
73,1,7786,0,34,0,8,"$14,194",No,"$87,034",z_No,z_F,<High School,Clerical,13,Private,"$2,920",4,Sports Car,no,"$24,767",3,Yes,2,10,Highly Urban/ Urban
74,0,0,1,38,4,12,"$2,149",No,"$72,889",Yes,z_F,<High School,Home Maker,35,Private,"$22,690",10,Pickup,no,$0,0,No,2,1,Highly Urban/ Urban
77,1,4148,2,43,3,11,"$137,103",Yes,$0,z_No,z_F,Masters,Manager,29,Private,"$19,510",1,Sports Car,no,"$8,890",3,No,0,15,Highly Urban/ Urban
78,0,0,0,49,0,9,,No,$0,z_No,M,PhD,,31,Commercial,"$33,710",3,Panel Truck,no,"$34,351",2,Yes,2,18,Highly Urban/ Urban
79,0,0,0,46,0,10,"$79,538",No,$0,z_No,z_F,Bachelors,Manager,13,Private,"$14,050",3,Minivan,no,$0,0,Yes,2,11,Highly Urban/ Urban
80,0,0,0,45,1,11,"$185,836",No,"$509,115",Yes,z_F,PhD,Lawyer,28,Private,"$10,250",1,z_SUV,no,"$4,307",3,No,6,20,Highly Urban/ Urban
81,0,0,0,46,0,14,,No,"$397,661",z_No,M,Masters,,22,Commercial,"$33,320",4,Panel Truck,yes,$0,0,Yes,1,12,Highly Urban/ Urban
82,0,0,0,45,0,11,"$61,931",No,"$213,530",Yes,M,Masters,,30,Commercial,"$10,910",13,Pickup,yes,"$25,106",2,No,0,,Highly Urban/ Urban
84,0,0,0,63,0,9,"$74,426",No,$0,z_No,z_F,PhD,Doctor,11,Private,"$27,600",1,z_SUV,no,$0,0,No,0,18,Highly Urban/ Urban
85,0,0,0,44,0,9,"$74,722",No,"$231,034",Yes,z_F,Bachelors,Professional,9,Private,"$23,640",6,Minivan,no,$0,0,No,0,1,Highly Urban/ Urban
86,1,2371,1,45,2,11,"$102,393",Yes,$0,z_No,M,Bachelors,Professional,25,Private,"$1,500",1,Minivan,yes,$0,0,No,2,11,Highly Urban/ Urban
88,0,0,0,48,0,0,$0,No,"$98,920",Yes,z_F,z_High School,Home Maker,50,Private,"$8,660",3,Sports Car,no,"$8,363",2,No,3,,Highly Urban/ Urban
89,1,4804,1,37,2,12,,No,"$205,211",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$5,200",1,z_SUV,no,"$2,718",1,No,1,3,Highly Urban/ Urban
90,0,0,0,35,0,,"$29,371",No,$0,z_No,z_F,<High School,Clerical,49,Private,"$4,860",10,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban
91,1,1354,0,48,0,12,"$31,773",No,"$165,090",Yes,M,z_High School,Clerical,14,Commercial,"$9,640",13,Pickup,no,"$1,212",1,No,4,1,Highly Urban/ Urban
93,0,0,0,49,0,0,$0,No,"$159,389",Yes,z_F,Masters,Professional,42,Private,"$6,400",10,z_SUV,no,"$9,115",1,No,6,14,Highly Urban/ Urban
94,0,0,0,44,2,15,"$139,330",Yes,"$316,900",z_No,z_F,z_High School,z_Blue Collar,35,Commercial,"$22,050",10,Sports Car,no,$0,0,No,0,1,z_Highly Rural/ Rural
95,0,0,0,50,0,13,"$163,296",No,"$447,616",z_No,z_F,PhD,Lawyer,42,Private,"$22,830",1,Minivan,no,$0,0,No,0,14,z_Highly Rural/ Rural
96,0,0,0,30,1,10,"$17,455",Yes,"$140,978",z_No,z_F,<High School,z_Blue Collar,50,Private,"$12,380",13,Minivan,no,$0,0,No,0,6,z_Highly Rural/ Rural
97,0,0,0,54,0,,"$71,007",No,"$240,833",Yes,M,Bachelors,Manager,61,Private,"$14,000",6,Minivan,no,$0,0,No,0,11,Highly Urban/ Urban
99,1,2425,0,53,0,6,"$38,036",No,"$153,381",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$13,140",1,z_SUV,no,$0,0,No,4,1,Highly Urban/ Urban
100,0,0,0,53,0,13,"$41,199",No,"$150,933",z_No,z_F,Bachelors,Manager,21,Private,"$15,360",1,z_SUV,no,$0,0,No,0,8,Highly Urban/ Urban
101,0,0,0,29,1,10,"$38,042",Yes,"$202,967",z_No,M,z_High School,Professional,15,Private,"$15,160",6,Minivan,no,$0,0,No,0,1,Highly Urban/ Urban
102,0,0,0,58,0,11,"$91,223",No,$0,z_No,M,Masters,Lawyer,23,Private,"$10,620",6,Pickup,no,$0,0,No,0,,Highly Urban/ Urban
103,0,0,0,55,0,7,"$45,787",No,"$173,196",Yes,z_F,Masters,Lawyer,5,Private,"$19,380",6,Minivan,no,$0,0,No,0,13,Highly Urban/ Urban
104,0,0,0,55,0,,"$84,964",No,"$227,091",Yes,M,Bachelors,z_Blue Collar,21,Commercial,"$5,760",1,Pickup,yes,$969,2,No,6,11,Highly Urban/ Urban
105,0,0,0,56,0,8,"$38,240",No,"$190,675",Yes,z_F,z_High School,Clerical,28,Private,"$16,220",4,z_SUV,no,$0,0,No,0,,z_Highly Rural/ Rural
108,0,0,0,34,0,11,"$51,565",No,$0,z_No,M,Masters,Lawyer,36,Private,"$18,110",1,Van,yes,$759,2,No,3,15,Highly Urban/ Urban
109,1,5711,0,34,3,0,$0,No,"$66,358",Yes,z_F,z_High School,Home Maker,25,Private,"$11,740",9,z_SUV,no,"$1,800",2,No,2,1,Highly Urban/ Urban
110,0,0,0,36,0,11,"$105,384",No,"$267,509",Yes,M,Masters,Professional,24,Private,"$13,800",7,Minivan,yes,"$31,695",3,Yes,4,17,Highly Urban/ Urban
111,1,13105.327626,0,41,0,10,"$66,265",No,"$159,276",Yes,M,Masters,Lawyer,59,Private,"$12,230",4,Minivan,yes,$0,0,No,1,9,Highly Urban/ Urban
112,1,4061,0,46,0,7,,No,,z_No,M,Masters,,17,Commercial,"$23,350",13,Panel Truck,yes,"$4,678",3,No,6,17,Highly Urban/ Urban
114,0,0,0,42,0,9,"$76,226",No,"$217,920",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$23,390",13,Panel Truck,yes,$0,0,No,0,14,Highly Urban/ Urban
115,0,0,1,38,3,16,"$7,528",No,"$113,809",Yes,M,<High School,Clerical,26,Private,"$8,080",1,Pickup,yes,$0,0,No,0,8,z_Highly Rural/ Rural
116,1,7838,0,33,4,0,$0,Yes,$0,z_No,M,z_High School,Student,14,Commercial,"$15,090",1,Minivan,yes,"$1,631",1,No,2,5,Highly Urban/ Urban
117,1,3660,0,37,0,0,,No,"$73,890",Yes,z_F,Bachelors,Student,48,Commercial,"$12,850",7,z_SUV,no,$0,0,No,3,6,Highly Urban/ Urban
118,0,0,1,42,1,9,"$32,797",No,"$160,661",Yes,z_F,Masters,Lawyer,63,Private,"$21,690",1,Minivan,no,$0,0,No,2,14,Highly Urban/ Urban
119,1,5125,0,47,0,11,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,10,Highly Urban/ Urban
121,0,0,0,52,0,9,"$68,992",No,"$216,986",z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,"$15,120",1,Minivan,no,$0,0,No,3,10,z_Highly Rural/ Rural
122,0,0,0,43,0,11,"$132,561",No,"$314,433",z_No,M,Masters,Professional,8,Commercial,"$30,150",16,Panel Truck,no,"$12,294",1,No,0,1,Highly Urban/ Urban
124,0,0,0,66,1,17,"$96,830",No,"$325,826",Yes,M,Masters,Professional,23,Private,"$11,180",7,z_SUV,no,$0,0,No,0,16,Highly Urban/ Urban
127,1,2143,0,52,0,7,"$64,014",No,"$244,863",Yes,M,<High School,z_Blue Collar,33,Commercial,"$7,900",4,Pickup,yes,"$8,882",3,No,1,5,Highly Urban/ Urban
130,0,0,1,38,1,7,,No,$0,Yes,z_F,z_High School,Student,40,Private,"$7,050",4,Sports Car,no,$0,0,No,0,10,z_Highly Rural/ Rural
132,0,0,0,47,0,14,,No,"$276,241",Yes,M,Bachelors,Manager,48,Private,"$21,320",1,Van,yes,$0,0,No,0,13,Highly Urban/ Urban
133,0,0,0,37,0,12,"$123,520",No,"$383,731",Yes,M,Bachelors,z_Blue Collar,14,Commercial,"$17,550",1,Van,no,$0,0,No,0,,Highly Urban/ Urban
134,0,0,0,47,0,13,"$45,257",No,"$160,051",Yes,M,Bachelors,Clerical,33,Commercial,"$29,210",6,Panel Truck,yes,$0,0,No,0,,Highly Urban/ Urban
136,0,0,1,61,2,17,"$41,857",No,"$169,015",Yes,z_F,Masters,Manager,35,Private,"$20,870",1,Sports Car,no,$0,0,No,0,21,Highly Urban/ Urban
137,1,2114,0,41,1,8,"$126,468",Yes,$0,z_No,z_F,Masters,Manager,34,Commercial,"$32,690",3,Pickup,no,$0,0,No,2,18,Highly Urban/ Urban
138,0,0,3,40,3,9,"$75,516",No,"$247,673",Yes,z_F,z_High School,z_Blue Collar,53,Commercial,"$13,050",5,Sports Car,no,$0,0,Yes,0,6,z_Highly Rural/ Rural
139,0,0,0,52,0,16,"$76,954",No,"$249,290",z_No,M,Bachelors,Professional,44,Private,"$19,540",6,Minivan,yes,$0,0,Yes,0,11,Highly Urban/ Urban
140,0,0,0,58,1,8,"$150,352",No,"$421,665",Yes,z_F,Masters,Manager,21,Private,"$24,240",6,Pickup,no,$0,0,No,0,17,Highly Urban/ Urban
142,1,8671,1,38,1,12,"$37,580",No,"$173,495",Yes,z_F,<High School,Clerical,36,Private,"$5,260",7,z_SUV,no,$867,2,No,0,1,Highly Urban/ Urban
143,1,6287,0,41,2,15,"$23,344",No,"$147,172",Yes,M,z_High School,z_Blue Collar,10,Private,"$7,930",1,Pickup,no,$0,0,No,1,1,Highly Urban/ Urban
144,0,0,0,37,0,16,"$43,290",No,"$158,771",Yes,z_F,Bachelors,z_Blue Collar,29,Private,"$23,640",1,z_SUV,no,$0,0,No,0,10,Highly Urban/ Urban
145,0,0,0,48,0,10,"$48,737",No,"$220,264",Yes,M,Bachelors,Manager,24,Private,"$11,220",9,Pickup,yes,$0,0,No,1,1,Highly Urban/ Urban
146,0,0,0,47,0,12,"$64,259",No,"$202,031",Yes,M,z_High School,Clerical,26,Private,"$25,100",18,Minivan,no,"$9,526",4,No,3,9,Highly Urban/ Urban
149,0,0,0,41,0,6,"$12,541",No,$0,z_No,M,<High School,Clerical,5,Private,"$7,500",1,Minivan,yes,$0,0,No,0,1,z_Highly Rural/ Rural
150,0,0,0,47,0,12,"$104,271",No,"$265,153",Yes,M,Masters,,40,Commercial,"$36,120",4,Panel Truck,yes,$0,0,No,0,11,Highly Urban/ Urban
152,0,0,0,44,1,,"$67,278",No,"$220,556",Yes,z_F,Masters,Lawyer,49,Private,"$20,210",1,Minivan,no,$0,0,No,0,16,z_Highly Rural/ Rural
153,0,0,0,46,0,10,"$104,990",No,"$306,540",z_No,z_F,Bachelors,Professional,40,Private,"$16,080",13,z_SUV,no,$0,0,No,0,7,Highly Urban/ Urban
154,0,0,0,49,0,6,"$89,948",No,$0,z_No,z_F,Bachelors,Professional,37,Private,"$18,160",7,z_SUV,no,$0,0,No,4,9,Highly Urban/ Urban
155,0,0,0,33,1,12,"$111,427",No,"$321,483",Yes,z_F,Masters,,35,Commercial,"$28,180",1,Van,no,$0,0,No,3,4,Highly Urban/ Urban
158,1,1807,1,43,2,11,"$76,159",Yes,$0,z_No,z_F,Bachelors,Professional,52,Private,"$19,750",4,z_SUV,no,$0,0,Yes,0,,Highly Urban/ Urban
159,0,0,0,62,0,6,"$107,734",No,$0,z_No,z_F,PhD,Lawyer,54,Private,"$18,470",3,z_SUV,no,$0,0,No,0,15,Highly Urban/ Urban
160,1,10593.946633,0,42,0,0,$0,No,,z_No,M,<High School,Student,47,Commercial,"$5,700",11,Pickup,yes,$0,0,No,5,1,Highly Urban/ Urban
161,0,0,0,36,2,12,"$25,282",Yes,$0,z_No,z_F,z_High School,Clerical,38,Private,"$11,160",1,z_SUV,no,$0,0,No,0,1,z_Highly Rural/ Rural
162,0,0,0,47,0,11,"$18,549",No,"$116,136",Yes,M,Masters,Lawyer,24,Private,"$12,800",7,Minivan,no,$0,0,No,0,14,Highly Urban/ Urban
163,0,0,0,50,0,14,,No,"$147,191",Yes,M,z_High School,Clerical,11,Commercial,"$17,300",13,Van,yes,$0,0,No,0,7,Highly Urban/ Urban
164,0,0,0,51,0,9,"$50,166",No,"$187,297",z_No,M,z_High School,z_Blue Collar,32,Commercial,"$11,620",1,Pickup,no,"$50,701",3,Yes,0,1,Highly Urban/ Urban
165,0,0,0,46,0,8,"$73,872",No,"$245,878",Yes,z_F,Masters,Lawyer,43,Private,"$20,240",4,Sports Car,no,$0,0,No,0,16,z_Highly Rural/ Rural
166,0,0,0,50,0,14,"$73,343",No,"$254,600",Yes,z_F,z_High School,Manager,60,Private,"$20,010",1,Minivan,no,"$4,179",2,No,4,8,Highly Urban/ Urban
167,1,6158,0,43,2,15,"$49,849",Yes,$0,z_No,z_F,Masters,Lawyer,35,Private,"$13,130",1,z_SUV,no,"$3,622",3,No,4,20,Highly Urban/ Urban
168,1,4887,1,39,1,16,"$12,054",No,$0,Yes,z_F,<High School,Student,28,Commercial,"$15,760",4,Pickup,no,"$1,738",2,Yes,4,1,Highly Urban/ Urban
169,0,0,0,43,3,14,"$48,184",No,"$209,188",Yes,z_F,z_High School,z_Blue Collar,50,Commercial,"$14,530",12,Sports Car,no,"$6,891",2,No,5,1,Highly Urban/ Urban
170,1,5147,0,60,3,18,"$78,936",No,"$235,670",Yes,z_F,Masters,Lawyer,40,Private,"$20,350",6,z_SUV,no,$0,0,No,0,15,Highly Urban/ Urban
171,0,0,0,55,0,0,$0,No,$0,z_No,M,<High School,Student,33,Private,"$7,000",4,Pickup,no,$0,0,No,0,1,z_Highly Rural/ Rural
172,0,0,0,40,0,10,"$78,914",No,"$229,055",z_No,z_F,Bachelors,Manager,36,Private,"$5,500",10,z_SUV,no,"$6,803",2,No,6,10,Highly Urban/ Urban
173,0,0,0,39,0,6,"$77,125",No,"$210,840",Yes,z_F,Bachelors,Clerical,49,Private,"$9,570",7,Sports Car,no,$0,0,No,1,13,Highly Urban/ Urban
175,0,0,0,38,0,14,"$25,835",No,"$109,685",Yes,M,z_High School,Clerical,29,Private,"$8,490",6,Pickup,yes,$0,0,No,1,12,Highly Urban/ Urban
176,0,0,0,42,0,12,"$47,660",No,"$180,206",Yes,M,Masters,Professional,31,Private,"$11,940",7,Pickup,yes,$974,2,No,6,18,Highly Urban/ Urban
177,0,0,0,42,0,10,"$123,143",No,"$306,368",z_No,z_F,Masters,Manager,16,Private,"$24,930",4,Minivan,no,$0,0,No,3,14,Highly Urban/ Urban
178,0,0,0,49,0,8,"$22,059",No,"$123,924",Yes,z_F,<High School,Clerical,24,Commercial,"$21,990",11,Pickup,no,$0,0,No,1,1,Highly Urban/ Urban
179,0,0,1,36,1,12,"$50,750",Yes,$0,z_No,z_F,Masters,Manager,26,Private,"$10,170",7,z_SUV,no,"$5,877",3,No,7,14,Highly Urban/ Urban
180,0,0,0,34,1,10,"$23,571",Yes,$0,z_No,M,z_High School,Clerical,35,Commercial,"$12,180",7,Pickup,yes,$0,0,No,0,7,Highly Urban/ Urban
181,0,0,0,49,0,0,$0,No,"$79,913",Yes,z_F,PhD,Home Maker,29,Private,"$18,110",7,z_SUV,no,$0,0,No,1,1,Highly Urban/ Urban
182,0,0,0,52,0,12,"$35,631",No,"$155,972",Yes,M,z_High School,Clerical,39,Private,"$6,040",10,Minivan,yes,$0,0,No,0,1,Highly Urban/ Urban
183,0,0,0,50,0,11,"$129,234",No,$0,z_No,M,PhD,Doctor,37,Private,"$21,200",4,Van,yes,$0,0,No,0,,Highly Urban/ Urban
184,0,0,0,53,0,12,,No,$0,z_No,z_F,<High School,Clerical,16,Private,"$11,650",10,z_SUV,no,"$6,175",1,No,2,7,Highly Urban/ Urban
185,0,0,0,55,0,14,"$55,409",No,"$162,237",Yes,M,Bachelors,z_Blue Collar,45,Commercial,"$27,890",4,Panel Truck,no,$0,0,No,0,14,z_Highly Rural/ Rural
187,0,0,0,40,4,15,"$48,067",Yes,"$186,025",z_No,z_F,Bachelors,Clerical,21,Private,"$18,120",8,Minivan,no,$0,0,No,0,8,Highly Urban/ Urban
188,0,0,0,45,2,12,"$64,867",No,"$210,631",Yes,z_F,Masters,Lawyer,21,Private,"$12,490",1,z_SUV,no,$0,0,No,0,10,Highly Urban/ Urban
189,0,0,0,80,2,23,"$97,716",No,"$389,344",Yes,M,Bachelors,Professional,14,Private,"$15,920",13,Minivan,yes,$0,0,No,2,10,Highly Urban/ Urban
190,0,0,0,48,0,10,"$39,613",No,"$159,534",Yes,M,z_High School,z_Blue Collar,48,Commercial,"$8,460",10,Pickup,yes,"$7,437",2,No,6,1,Highly Urban/ Urban
191,0,0,0,37,0,11,,No,,z_No,M,z_High School,Student,69,Private,"$14,130",1,Minivan,yes,$0,0,No,1,,z_Highly Rural/ Rural
