,Unnamed: 0,DSI_Title,Text,Cluster
16,16,JA_Doc1_US-China-trade-war-deal-90 per cent complete.docx,"A trade deal between China and the United States is “90 per cent completed”, US Treasury Secretary Steven Mnuchin has said just three days before a high-stakes meeting between the countries’ two top leaders.

In an interview with CNBC on Wednesday, Mnuchin said this week’s Group of 20 summit in Osaka, Japan, where Chinese President Xi Jinping and his US counterpart Donald Trump are expected to meet, would be “a very important G20”.

“We were about 90 per cent of the way there [to a trade deal] and I think there’s a path to complete this,” he said, without specifying the remaining 10 per cent.

“The message we want to hear is that they want to come back to the table and continue because I think there is a good outcome for their economy and the US economy to get balanced trade and to continue to build on this relationship.”

The upbeat assessment is the most positive comment from a senior official directly involved in talks to end a costly trade war between the world’s two largest economies since negotiations broke down early last month.

Also on Wednesday, Bloomberg cited sources saying the US was considering suspending its next round of tariffs on another US$300 billion of Chinese goods. Beijing has insisted that it will not agree to any deal under the threat of tariffs.

But China has largely remained tight-lipped. Before going to Japan, Xi called a meeting on Monday with the other 24 members of the Politburo, the Communist Party’s inner circle.

Other than a terse and heavily scripted report afterwards, there was little information about what the cadres discussed but official media offered some clues.

Immediately after the meeting, Xi arranged a special study session for the Politburo on “remembering the mission and conducting self-revolution”, according to party journal Qiushi.

“Self-revolution” is a term often used to refer to the need to overcome petty local interests for the greater good of the party.

Xi warned against “lurking risks” everywhere that could subvert the party’s mission, and stressed the importance of unity around party leadership.

He also called on the senior officials to learn lessons from previous crises in the party.

“Why has our party been able to survive bloodbath after bloodbath, and achieve victory after victory?” Xi said. “It’s because we resolutely marched towards the goal of national rejuvenation and won firm support from the people.”

While these reports made no direct mention of the US, they can be seen as a coded call for other top party leaders to rally behind Xi and give him political support ahead of tense talks with Trump.

The Monday meeting was technically the only opportunity for Xi to gather all top officials – many posted outside Beijing – to discuss key issues and forge consensus.

The South China Morning Post reported earlier that during the previous Politburo meeting in May, Xi canvassed the other Politburo members for their views on the latest US demands. The group had decided to reject some of the demands from Washington that were deemed as challenging the party’s rule in China, leading to the collapse of the trade talks.",0
32,32,It-May-Take .docx,"It may take federal officials two years to identify what could be thousands of immigrant children who were separated from their families at the border, the government said in court documents filed on Friday.



A federal judge had asked for a plan to identify these children and their families after a report from government inspectors in January revealed that the Trump administration most likely separated thousands more children from their parents.



These families were separated before the administration unveiled its “zero-tolerance” immigration policy in the spring of 2018, when nearly all adults entering the country illegally were prosecuted and any children accompanying them were put into shelters or foster care.



To identify these families, the government said it would apply a statistical analysis to about 47,000 children who were referred to the Office of Refugee Resettlement and subsequently discharged, according to the court filing. From there, the government said it would manually review the case records of the children who appeared to have the highest probability of being part of the separated families.



Officials estimated that the process would take at least one year and potentially two. In explaining the reason for such an arduous process, the government said United States Customs and Border Protection did not collect specific data on migrant family separations before April 2018.



In a court filing for the government, Jonathan White, a commander with the United States Public Health Service Commissioned Corps, wrote that identifying this group of children presented new challenges because they were already discharged from the Office of Refugee Resettlement, meaning the government “lacks access” to them.



In June, Judge Dana M. Sabraw ordered the reunification of children and parents who had been separated under the Trump administration policy. President Trump rescinded the policy that same month.



About 2,800 children have been reunified with their families or situated according to their parents’ wishes, said Lee Gelernt, who challenged the policy in court on behalf of the American Civil Liberties Union.



The January report, by the Office of Inspector General of the Department of Health and Human Services, revealed that a group of separated families was unaccounted for because the government lacked an effective tracking system. In March, Judge Sabraw ruled that those families should be included in the litigation.



The families the government may now be tasked with locating are those who entered the United States on or after July 1, 2017, the earliest known date that families were separated; were detained by immigration officials; and have a child who was detained and then released to a sponsor, such as a relative, before the judge’s reunification order on June 26, 2018.



When the government previously identified children for reunification, it included only the children who were detained at the time of the reunification order.



According to the government’s proposed plan, officials would update the A.C.L.U. about the families’ information after completing the analysis and reviewing the children’s cases. The organization would then use that information to help reunify parents and children.



The family separations were a central part of the Trump administration’s effort to deter migrant families from trying to enter the United States through its southern border with Mexico.



Data released last month suggested that the administration’s immigration measures failed to deter tens of thousands of migrants traveling to the United States, most of whom were escaping violence and poverty in Central America.",0
52,52,How Immigration Became So Controversial.docx,"How Immigration became real problem –

Immigration seems to be the most prominent wedge issue in America. Senate Republicans and Democrats shut down the federal government over the treatment of immigrants brought to the U.S. illegally as children, also known as Dreamers. 

The immigration issue was never easy. But it hasn’t always been this confusing.

The most common economic arguments against immigrants, particularly those that are low-skilled workers, are two-fold. First, there is the concern that new arrivals pull down wages for the low-income Americans with whom they compete. The evidence here is mixed and controversial, but a 2008 meta-analysis of more than 100 papers studying the effect of immigration on native-born wage growth characterized the impact on wages as “very small” and “more than half of the time statistically insignificant.” Second, there is a concern that immigrants are a drain on federal resources. It’s true that the first generation of low-skilled adults can receive more in health care, income support, and retirement benefits than they pay in taxes. But as their children grow up, find jobs, and pay taxes themselves, most immigrant families wind up being net contributors to the government over their decades-long residence in the U.S., according to a 2016 report from the National Academy of Sciences.

Too often lost in this discussion of wage and budget effect is the question of whether a rich country has a moral obligation to help poor families—particularly those in political distress—by admitting them as legal immigrants. The single most unambiguous, most uncontroversial fact about immigration is that it raises the living standards of poorer foreign-born workers. It is, essentially, the world’s most effective foreign-aid program on a per capita basis. But, more than mere charity, high levels of immigration seem to materially benefit the United States. America’s immigrant population is in many ways a model of the future of the country—more entrepreneurial, more likely to move toward opportunity, and all together more dynamic. To regard this community as something the United States should banish from the body politic is to mistake a vital organ for a cancer.

I have written that the current demographic and political makeup of the U.S. electorate (and other countries) makes it vulnerable to a race-baiting populist like Donald Trump, who can marshal the latent tribalism of a fading white majority to harass immigrants. But the United States’ demographic picture is changing quickly. The generation of Americans under 30 are the most diverse cohort in the U.S., the most fervently against the construction of any wall, and the most accepting of immigrants, even those that don’t speak fluent English.

The majority of children born in 2015 were non-white. That means even if the GOP hardliners managed to permanently end immigration this weekend, the United States’ white majority would decline into one of many non-majority pluralities within a few decades, anyway. No matter whether the future of the Republican Party is Stephen Miller or the Koch Brothers, multiracial nationalism is the future of the United States. No other nation is on the way. There is no other future to unite around.",0
18,18,China-Suggests-Trade.docx,"China Suggests a Trade Compromise With the Trump Administration

By Keith Bradsher and Ana Swanson

March 9, 2019

BEIJING — A senior Chinese trade official called on Saturday for a compromise between the United States and China that could make a trade deal easier to reach this spring. But it could also lead to a more fragile agreement, which could fall apart quickly should trade frictions rise again.

Over the past year, the most contentious issue in the countries’ trade talks has been the Trump administration’s demand for what it calls an enforcement provision, which would allow the United States to monitor China’s behavior and put penalties in place if the Chinese violated the deal.

The Trump administration has pressed China to accept an agreement allowing the United States to unilaterally reimpose tariffs if it concludes that China has not gone through with structural changes to its economy. In the past month, the administration has also pushed for a broader enforcement mechanism, which would include the right to reimpose tariffs for any category of goods in which imports from China surge.

In exchange, the Trump administration would roll back at least some of the tariffs it placed on $250 billion of imports from China that it imposed last year, penalties that have strained ties between the governments, rocked financial markets and thrown the future of companies that operate in both countries in doubt.

Chinese officials have strongly resisted the idea of an enforcement provision. They worry that the Trump administration, or future ones, could invoke it at any time to restart trade frictions.

But Wang Shouwen, China’s vice minister of commerce for international trade negotiations, raised a possible compromise at a news conference in Beijing on Saturday morning. He said China would be amenable to an agreement that gave each side an equal right to take trade actions.

Fair and equal is China’s preferred term for an enforcement mechanism. He spoke at an annual news conference given by the Chinese Commerce Ministry’s top officials, in conjunction with the 11-day session of the country’s rubber-stamp legislature, the National People’s Congress.

While the Trump administration wants the right to reimpose tariffs unilaterally, China’s Commerce Ministry has favored creating a lengthy process of bilateral consultations if either side has a grievance.

In testimony before Congress on Feb. 27, Robert Lighthizer, Mr. Trump’s top trade negotiator, outlined a possible method for enforcing the deal under which the two sides would hold a regular series of meetings at multiple levels of government, and, if China violated the agreement, American tariffs would spring back into force.

The details of that proposal aren’t fully clear. But some American businesses are wary of a deal that would only allow them to air complaints through the government. They said such an arrangement could be time-consuming and ultimately lack the capacity to address many of the problems faced by American companies operating in China.

American businesses also contend that having the main penalty for violating the agreement be the reimposition of tariffs risks creating lasting uncertainty. The companies are now weighing whether to continue to invest in China or whether the prospect of additional levies would make it less risky to move operations abroad.

As long as the threat of tariffs looms, the United States and China could resolve their differences in the coming months, only to find themselves back in a similar stalemate next year. Mr. Wang said there had been progress during trade talks last month in Washington — and at least one moment of harmony. 

“They were both drinking water, they wanted to find common ground,” he said.",0
55,55,Trump-Promises-Epic.docx,"Trump promises ‘epic’ trade deal with China, but holds off on summit with Xi Jinping for now

By David J. Lynch

April 4, 2019



President Trump touted prospects for an “epic” trade deal with China on Thursday but acknowledged that a settlement of a year-long commercial conflict remained at least a month away.

Speaking with Chinese Vice Premier Liu He, Trump said a trade agreement between the two countries could come “within the next four weeks” followed by an additional two weeks to polish the text.



But Trump said it was too soon to set a date for a signing summit with Chinese President Xi Jinping with negotiators still haggling over core questions, such as a proposed enforcement mechanism and the future of each side’s import tariffs.Xi also sounded an upbeat note, conveying to Trump through Liu that he wanted an early conclusion to the negotiations on the text of a bilateral trade deal.



Liu said Xi believes that “strategic leadership” was needed for the “healthy, stable development of China-U.S. ties,” according to China’s state-run Xinhua News Agency.

The two sides had reached a “new consensus” which would end a commercial spat that has unsettled relations between the world’s two largest economies, disrupted corporate supply chains and left Americans slightly poorer, according to economists.

The president’s thirst for an agreement with China has grown since the stock market began sliding from its October peak.

From the outset, his administration has been divided between advisers who fear the trade war’s impact on the economy and financial markets and those who believe a showdown with China is long overdue.

The stock market’s slide late last year increased the influence of market-friendly figures such as Treasury Secretary Steven Mnuchin, a former executive at the investment bank Goldman Sachs.

Trade hawks such as chief negotiator Robert E. Lighthizer see the confrontation with China as perhaps Washington’s last chance to reset relations with a nation intent on supplanting the United States as the world’s technology leader.

In recent bargaining sessions, negotiators have closed the gap on provisions governing digital trade and access for American banks and financial institutions to China’s market.

The emerging accord would not erase all of the irritants in the U.S.-China relationship, but closer to be a cease-fire.

It remains unclear whether the United States will cancel some or all of the, and the president has spoken of keeping at least some tariffs in place as leverage to encourage the Chinese government to comply with an eventual agreement. China is pushing for the tariffs to be removed before it will agree to lift its retaliatory tariffs on U.S. farm products and industrial goods including autos. 



Tariffs on imports from China and other countries reduced U.S. real income by $1.4 billion per month and had a similar effect on countries that had retaliated against the United States, according to a study by economists David Weinstein of Columbia University, Mary Amiti of the Federal Reserve Bank of New York and Princeton University’s Stephen J. Redding.

He also vowed to eliminate the United States’ chronic trade deficit with China, yet saw it climb to a record $419.2 billion in 2018.



He has pressed negotiators to ensure Chinese buyers place the bulk of promised orders before the 2020 election, according to Derek Scissors, a China expert at the American Enterprise Institute whom the administration has consulted during the talks.

Those who see China as a U.S. adversary, worry the trade bargain maycarry unintended consequences.",0
45,45,JL_Trump Administration Calls for Medicaid Overhaul Home Health Care News.docx,"The Trump administration on Monday released its proposed budget for fiscal year 2020, calling for government-wide domestic spending cuts of 5%, a site-neutral payment system for health care providers and a major Medicaid overhaul.

The proposed budget ó unlikely to make it past a democrat-controlled House of Representatives ó also seeks to curb Medicare spending by increasing prior authorization on items vulnerable to fraud, waste and abuse.

While presidential budget proposals seldom proceed as submitted, they offer insight into priorities for the year ahead. Any Trump administration efforts to minimize the Medicaid or Medicare programs, however, would assuredly be met with resistance from home-based care advocates and providers, many of whom are feeling financial pressures from a worsening labor crisis and lagging reimbursement levels.

Indeed, the White House budget proposal raises important concerns for home care and hospice providers, National Association for Home Care & Hospice (NAHC) President William A. Dombi said in a statement shared with Home Health Care News, specifically mentioning the block granting of Medicaid and instituting rate cuts for Medicare post-acute services.

ìIt is crucial that support for home care and hospice be increased as the value of these services grows with innovation, efficiencies and quality improvement,î Dombi said. ìWe look forward to working with the administration and the Congress as we tackle the challenges of health care delivery together.î

Under the Trump administrationís proposed budget, defense-related spending would increase to $750 billion in 2020, a more than 4.7% bump from 2019 levels. Meanwhile, spending on non-defense programs would drop to $567 billion, a decrease of more than 5%.

U.S. Environmental Protection Agency spending would plummet by about 31% under the proposed budget, while departments of State and Transportation spending would decrease by 23% and 22%, respectively. 

On a long-term basis, the Department of Health and Human Services (HHS) would be hit by the proposed spending cuts in several key ways.

President Donald Trumpís ìBudget for a Better Americaî would slash roughly $846 billion from Medicare framework over the next 10 years, an HHCN review found. The proposed budget includes several legislative proposals and administrative actions to reduce monetary loss from improper payments, including an increase in Medicare Advantage (MA) payment audits.

But perhaps the biggest Medicare-related change featured in the budget proposal is site-neutral payment reform tying payment to patient characteristics rather than care setting. The creation of a unified post-acute care payment system alone would save about $101.2 billion from 2020 through 2029, according to the Trump administration.

ìBy ensuring payments are accurately aligned with the costs of care and strengthening providers accountability to improve quality and health outcomes, the budget protects seniors from excessive out-of-pocket costs and improves the standard of care they receive,î the administration wrote in its budget proposal.

The Medicare Payment Advisory Commission (MedPAC) has repeatedly recommended a shift to a post-acute payment system over the past few years. Currently, Medicare uses separate payment systems across the post-acute care environment, comprised of skilled nursing facilities (SNFs), home health agencies, IRFs and long-term care hospitals (LTCHs).",0
46,46,Wall-Relief-Funds.docx,"President Trump traveled to the border on Thursday to warn of crime and chaos on the frontier, as White House officials considered diverting emergency aid from storm- and fire-ravaged Puerto Rico, Florida, Texas and California to build a border barrier, perhaps under an emergency declaration.

In a sign of growing unease about the partial government shutdown, some Senate Republicans came off the sidelines to hash out a deal that would reopen the government as Congress worked toward a broader agreement tying wall funds to protection for some undocumented immigrants and other migrants.

But before those negotiations could gain momentum, they collapsed. Vice President Mike Pence and other members of Mr. Trump’s team let it be known privately that the president would not back such a deal.

“It kind of fell apart,” said Senator Lindsey Graham, Republican of South Carolina, who was among those Republicans seeking a deal.

“It is time for President Trump to use emergency powers to fund the construction of a border wall/barrier,” he said later in a brief statement. He added, “I hope it works.”

The administration appeared to be looking into just such a solution: using extraordinary emergency powers to get around Congress in funding the wall. 

Administration officials are debating whether they could make such a move without the president declaring a national emergency.

But Mr. Trump’s advisers have urged him to try to find other approaches than declaring a national emergency. 

The advisers have warned him of a range of possible negative outcomes, particularly the risk of losing in court, people familiar with the discussions said.

Aides have suggested that Mr. Trump would be giving a dysfunctional Congress a pass from fulfilling its duties if he makes an aggressive move. And some of his more conservative advisers have suggested a national emergency declaration is a form of government overreach that is antithetical to conservative principles.

Mr. Trump also repeated his demand for the money from Congress while saying that Mexico would somehow provide funds indirectly for the wall, a contradiction of what he said in December.

“I didn’t say they’re going to write me a check for $10 billion or $20 billion,” Mr. Trump said on Thursday. “If Congress approves this trade bill, they’ll pay for the wall many times over. When I say Mexico’s going to pay for the wall, that’s what I mean.”

It was among the bewildering statements that underscored his often contradictory attempts to force Democrats to capitulate. Mr. Trump renewed his threat to declare a national emergency and build his wall without congressional approval.

“We can declare a national emergency,” Mr. Trump said. “We shouldn’t have to.”

Later, standing just by the Rio Grande with military vehicles and border agents as his backdrop, he said he would consider a compromise that would allow undocumented immigrants brought to the United States as children, often known as Dreamers, to maintain legal status they lost when he ended the Obama-era program that protected them.",1
4,4,Trump-says-DHS.docx,"Senior administration officials told CNN that Nielsen had a 5 p.m., meeting at the White House with Trump where she was planning to discuss with him the immigration and border issues and a path forward. She had no intention of resigning, according to one of the sources, but rather was going there with an agenda.

The source notes Trump's frustration with the current asylum laws, and his desire for individuals who work for the administration to just stop Central American asylum seekers from entering the United States, contrary to the law.

Nielsen has felt ""in limbo"" for the last week, a person close to her says, as she bore the brunt of the President's anger over the border.

She's been increasingly on thin ice in the eyes of the President. She did not realize how dire it was when she left the US last weekend, but quickly did, as she abruptly returned.

She did interviews -- including on CNN -- to try and improve the President's souring view of her, the source close to Nielsen said, but to little avail.

""Nothing she could do or say could change how the President started viewing her,"" the source close to Nielsen said.

That said, she was prepared to be fired at any moment, but did not know going into Sunday's meeting it would be imminent.

The departure comes just days after Trump suddenly withdrew the nomination of Ron Vitiello for Immigration and Customs Enforcement director, blindsiding the Department of Homeland Security and the Hill. Nielsen was unaware what was happening until after the nomination had been pulled, a person familiar with the news said. The announcement Sunday also follows plans to cut aid to some Central American countries, marking a sudden reversal after Nielsen had days earlier visited Honduras to sign a regional compact agreement with Honduras, El Salvador and Guatemala.

Nielsen has had a tumultuous tenure that saw Trump steadily ramping up pressure on his team to execute his immigration promises, which he believes is the single driving issue for his base of political supporters.

Trump has vented privately that Nielsen hasn't adequately secured the border or enacted stricter immigration rules, even as she became the face of policies that administration critics called heartless and illegal.

In recent weeks, administration officials have been sounding the alarm over the increase in migrants at the southern border, underscoring the change in demographics as one of the reasons for the host of challenges they're facing.

""Right now, we have an emergency on our hands. We need to treat it as such,"" Nielsen told Chris Cuomo on CNN's ""Cuomo Prime Time"" Thursday.

When Kelly moved to the West Wing as chief of staff, Nielsen followed, becoming a deputy chief of staff tasked with helping Kelly bring rigor to a freewheeling staff.

The role didn't gain her popularity, but it helped her gain enough of Trump's trust to elevate her to the Cabinet post.

But at the agency that oversees border protection and immigration matters -- Trump's signature issue -- it was inevitable Nielsen would find herself in the President's crosshairs.

After a previous Cabinet meeting during which Trump berated her for not acting strongly enough on preventing illegal immigration, Nielsen considered resigning, people familiar with the matter said at the time.

She didn't then, and went on to become one of the public faces of a controversial policy that separated families at the southern border.",1
30,30,Trump-Pushes-Wall.docx,"Trump Pushes For Wall Amid Shutdown, Says There's 'A Crisis Of The Heart' At Border

President Trump made his case to the American people Tuesday night for why a massive wall along the Mexican border is necessary, using his first Oval Office address to outline his conditions for ending the 18-day-and-counting partial government shutdown.

""This is a humanitarian crisis — a crisis of the heart and a crisis of the soul,"" Trump said, explaining why his request for $5.7 billion to build the wall and for additional border security measures is necessary.

""The federal government remains shut down for one reason and one reason only: because Democrats will not fund border security. ... The only solution is for Democrats to pass a spending bill that defends our borders and reopens the government,"" the president said.

Trump's address Tuesday night seemed, at least in part, a way to reassure nervous Republicans about the political cost of the shutdown, some of whom may be wavering as more impacts from the partial closure of the government ripple across the country. Trump and Vice President Pence will meet with Senate Republicans on Wednesday, and on Thursday Trump will visit the border to continue his media blitz. But in the nearly three-week-long shutdown, there still is no clear path to a resolution anytime soon, as both Trump and Democratic congressional leaders in their rebuttal offered nothing new beyond the arguments they've been making since last month.

Unlike at his campaign rallies, Trump didn't begin his Oval Office address with his push for a wall. Instead, he first outlined what he says is an urgent need to address a growing number of migrants trying to cross the border and to address drugs coming across illegally.

""Last month, 20,000 migrant children were illegally brought into the United States — a dramatic increase. These children are used as human pawns by vicious coyotes and ruthless gangs. One in three women are sexually assaulted on the dangerous trek up through Mexico. Women and children are the biggest victims, by far, of our broken system,"" Trump said.

Trump also claimed that the ""Southern border is a pipeline for vast quantities of illegal drugs"" and that it was necessary to ""stop the criminal gangs, drug smugglers and human traffickers.""

However, an NPR fact check found that according to the Drug Enforcement Administration, most illegal drugs come through legal ports of entry and only a small fraction comes through parts of the Southern border that would be impacted by a wall.

Trump also tried to make an emotional plea, pointing as he often has to crimes and slayings committed by undocumented immigrants as another reason stricter border security is necessary.

""How much more American blood must we shed before Congress does its job? To those who refuse to compromise in the name of border security, I would ask: Imagine if it was your child, your husband, or your wife whose life was so cruelly shattered and totally broken?"" Trump asked, framing his argument as ""a choice between right and wrong, justice and injustice.""

However, studies show undocumented immigrants in the U.S. commit crimes at a lower rate than native-born Americans.",1
50,50,Trump-Along-Border.docx,"McALLEN, Tex. — President Trump arrived in this border town Thursday on a trip that he did not want to take to discuss a crisis that Democrats say does not exist, repeating his request for a long-promised border wall that has led to a bitter political impasse and a 20-day government shutdown.

Flanked by Border Patrol officers, as well as Kirstjen Nielsen, the secretary of homeland security, and a cache of drugs, cash and weapons seized by the authorities at the border, Mr. Trump again blamed the protracted shutdown affecting vast swaths of the federal government on Democrats. He reiterated an untrue claim that Mexico would indirectly pay for the wall through a revamped trade agreement, and heard from people who had loved ones killed by immigrants.

“If we had a barrier of any kind, whether it’s steel or concrete,” Mr. Trump said of tragic stories involving violence and human trafficking, “they wouldn’t even bother trying. We could stop that cold.”

But as the government shutdown neared the end of its third week, the president left Washington with no additional negotiations scheduled with congressional leaders over a possible compromise that could both provide border security and open the government. In remarks to reporters on Thursday, Mr. Trump did not rule out declaring a state of national emergency that could allow him to bypass Congress to fund the wall.

Asked if he would make such a declaration, an action that would likely face legal challenges, Mr. Trump said: “If this doesn’t work out, probably I will do it. I would almost say definitely.”

In the meeting with Border Patrol officials, Mr. Trump did not emphasize the need for an emergency, but invited locals to help him make his case. 

A local pastor declared the problem a “humanitarian crisis.” Border Patrol officers used visual aids showing stash houses, road checkpoints and drug caches to emphasize the demand for border security and a wall. And at one point, Senator Ted Cruz, the Texas Republican who waged a brutal political battle with the president as an opponent during the 2016 primaries, praised Mr. Trump for “infusing more backbone” in the capital.

“When we see politicians go on TV and say the border’s secure and there is no crisis,” Mr. Cruz said, “they are ignoring reality.”

Mr. Trump repeated his demand for the money from Congress while telling the group that Mexico would somehow provide funds indirectly for the wall, a contradiction of what he said in December when he wrote in a Twitter post, “I often stated, ‘One way or the other, Mexico is going to pay for the Wall.’”

 “I didn’t say they’re going to write me a check for $10 billion or $20 billion,” Mr. Trump said on Thursday. “If Congress approves this trade bill, they’ll pay for the wall many times over. When I say Mexico’s going to pay for the wall, that’s what I mean.”

The new trade deal, the United States-Mexico-Canada Agreement, does not stipulate that Mexico provide funds for the wall, and has not been approved by Congress.",1
53,53,Trumps-Oval-Office.docx,"Trump's Oval Office address shows he's hit a wall on the border wall

WASHINGTON — President Donald Trump has hit a wall.

That is, his border wall isn't selling — and he appears to know it.

He didn't get Mexico to pay for it. Congress won't cough up the cash, either. The partial government shutdown he said he'd be ""proud"" to own in the name of forcing Democrats to capitulate on the barrier is well into its third week. And with a handful of Republicans starting to break ranks publicly, Democratic leaders have shown no signs of backing down.

Except for a cosmetic change — Trump said he'll accept a steel barrier instead of a concrete wall — the president hasn't tinkered with the product he's marketing. But on Tuesday, in his first address from the Oval Office, he wrapped it in a rhetorical shroud that he's been using recently in lower-profile settings: now, in his estimation, the wall is needed because of the ""humanitarian"" crisis at the border.

""Women and children are the biggest victims by far of our broken system,"" Trump said. ""This is the tragic reality of illegal immigration on our southern border. This is the cycle of human suffering that I am determined to end.""

But for years — and even at moments in his Tuesday night address — Trump has portrayed immigrants as a scourge on American society. Usually, he makes the distinction that he is talking about undocumented immigrants, and some — who he's dubbed murderers, rapists and animals — but not all of them.

That argument was the centerpiece of his 2016 presidential campaign, his barnstorming tour of the nation on behalf of Republican candidates before last November's midterm elections and his remarks from the Oval Office Tuesday night.

""Over the years, thousands of Americans have been brutally killed by those who illegally entered our country and thousands more lives will be lost if we don't act right now,"" he said. ""This is a humanitarian crisis, a crisis of the heart and a crisis of the soul.""

His remarks seemed highly unlikely to move Congress in his direction. He has asked for a $7 billion appropriation, including $5.7 billion for the promised border wall. But the Republican-led Congress denied him the money he sought in the last Congress, and Democrats, who now control the House and retain the numbers to sustain a filibuster in the Senate, haven't so much as blinked.

""I don't think he advanced his case one bit,"" Sen. Chris Van Hollen, D-Md., said on MSNBC's ""The Last Word"" following the Oval Office address.

Dan Eberhart, a Republican donor, said Trump may have done little to persuade his critics.

""The president’s speech will make his base happy — shows he’s working on keeping his promises,"" Eberhart said. ""It’s unlikely to convince Democrats or independents. The Democrats have an opportunity here to rise above partisan politics and make a counteroffer to the president and get the government open. Instead — so far — they have been more interested in denying Trump a win.""",1
23,23,Trump-Highlights-Human.docx,"President Trump on Thursday visited the U.S.-Mexico border in Texas and argued a barrier made of steel would deter human trafficking and drugs, amid stalled negotiations with Democrats over funding the border project and ending the partial government shutdown.

""Where you have a good strong barrier, you don't have problems,"" the president told reporters during his tour.

Back in Washington, Democrats in the Senate on Thursday failed to proceed with House-passed spending bills that would fund the government and end the partial shutdown without new border wall money. Sen. Mitch McConnell, the Republican majority leader, blocked that effort, saying it amounts to “pointless show votes.”

During an afternoon briefing with border agents at a patrol station in McAllen, Trump highlighted the prevalence of guns and drugs along the border. The president spoke in front of a table of items border agents have seized, including a rifle, handguns, a plastic bag full of cash and black-taped bricks of heroin and meth.

“If we had a barrier of any kind, a powerful barrier, whether it’s steel or concrete...We would stop it cold,” Trump said of human trafficking.

The president famously promised during the 2016 campaign that Mexico would pay for the border wall. But on Thursday, the president argued Mexico could still contribute to it indirectly, even though he’s demanding $5.7 billion in U.S. taxpayer money to pay for the wall.

“When I say Mexico’s going to pay for the wall...I didn’t say they’re going to write me a check for 10 billion or 20 billion,"" Trump said during the briefing. ""If Congress approves this trade bill, they’ll pay for the wall many times over. When I say Mexico’s going to pay for the wall, that’s what I mean.""

Before leaving the White House for Texas, the president insisted he is still willing to declare a national emergency if Congress doesn’t approve funding for a barrier along the border.

""I have the absolute right to declare a national emergency,” Trump told reporters. “The lawyers have so advised me. I'm not prepared to do that yet, but if I have to, I will.”

The National Emergencies Act grants the president broad authority to declare emergencies, which could clear a path for the White House to move ahead with building a wall.

The visit comes on the 20th day of the ongoing partial federal government shutdown affecting nearly 800,000 federal workers. Funding has lapsed for some parts of the government, as Congress has been unable to pass a spending bill. Trump is asking for funding for a border wall in the spending package, something Democrats are rejecting.

On Wednesday, Trump walked out of a White House meeting with congressional leaders including Senate Minority Leader Chuck Schumer and House Speaker Nancy Pelosi after Pelosi again rejected supporting new funding for a border wall.

On Tuesday, the president addressed the nation from the Oval Office about the situation at the border, with Trump declaring a “humanitarian and security crisis."" But Democratic congressional leaders responded by saying Trump was working to “manufacture a crisis, stoke fear and divert attention from the turmoil in his administration.""",1
26,26,Obama_Border_Patrol_chief_to_Trump.docx,"Mark Morgan, a career FBI official who served as Border Patrol chief for the last six months of the Obama administration before being removed once President Trump took office, has come out this week in support of a border wall.

The morning after Trump reiterated in a prime-time address to the nation why wall funding was worth shutting down 25 percent of the federal government, Morgan told The Fix that he’s breaking his silence because, in his view, the wall is an important piece in a group of policy changes needed to secure the border.

When Morgan was pushed out in January 2017, it was reported that the Border Patrol union, which has been loyal to Trump and his policies since his candidacy, didn’t believe Morgan was making border security a priority and lobbied the administration for him to be replaced.

Morgan says now that some “wires got crossed” and that he had supported Trump’s call for a wall since “day one.” But during a congressional hearing, he was asked whether he supported “comprehensive immigration reform,” and he said, “yes.” What he meant, he says now, was a holistic approach to how immigrants come into the country, which would include a barrier, enhanced technology and more personnel, as well as more bed space in holding facilities, more immigration judges and aid to Central American countries to help them improve their quality of life. What he didn’t mean, and what many misinterpreted, was a path to citizenship or permanent status.

Echoing many of the GOP’s recent talking points, Morgan said he didn’t understand why Democrats supported a border fence in 2006 but now say a border wall is “immoral.”

Democrats have defended their support for the 700 miles of fencing that was constructed between the United States and Mexico as different from the 2,000 miles of concrete wall the president had originally proposed (he has since amended his offer to “steel slats”) and that the 2006 bill was a lesser of two evils compared with what Republicans really wanted, which was to charge any illegal immigrant as a felon.

On the former, Morgan said he doesn’t understand why politicians are arguing over the number of criminals or terrorists crossing the border — the Trump administration has been called out for claiming 4,000 terrorists were stopped at the southern border when the actual number is six. The goal, Morgan argued, shouldn’t be to wait for a single terrorist to come into the country, but to be proactive so that it doesn’t happen. Asked about the fact that more terrorists actually come into the country through the northern border with Canada, Morgan said issues there should be part of the conversation as well.

Democrats have said they are willing to have a debate over border security but not while unrelated agencies are being held for ransom by the shutdown. But Morgan said the shutdown is a necessary last stand for the president to force a solution to a problem that Washington has failed to fully address for decades.",1
