INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP
154,74,1434,196,18,151,560,810,49,37,,1508,159,589,852,164,137
155,76,1506,220,34,207,612,875,85,40,,1515,208,616,880,167,143
156,88,1375,202,37,120,571,772,72,44,,1375,120,571,772,132,161
157,67,1331,180,28,108,546,764,55,38,,1339,109,549,769,176,148
158,70,1309,170,30,82,589,811,74,61,,1309,82,589,811,167,151
159,61,1404,218,20,139,537,876,82,53,,1404,139,537,876,175,127
160,69,1313,191,39,123,550,874,90,65,,1313,123,550,874,153,126
161,67,1406,223,28,128,496,828,99,51,,1424,130,502,838,185,141
162,82,1360,227,22,145,437,905,73,52,,1368,146,440,911,163,157
163,76,1354,226,34,98,491,825,150,60,,2069,150,750,1261,156,142
164,89,1411,215,22,146,554,869,151,77,,1411,146,554,869,137,186
165,88,1489,218,45,130,582,847,146,88,,1489,130,582,847,137,176
166,80,1338,234,27,111,555,896,140,85,,1338,111,555,896,139,153
167,66,1359,213,28,126,553,849,72,52,,1359,126,553,849,159,197
168,72,1356,242,24,139,541,910,94,76,,1364,140,544,916,142,182
169,69,1410,286,24,153,645,839,136,68,,1419,154,649,844,117,171
170,55,1335,231,28,97,437,859,96,70,,1352,98,442,870,153,140
172,65,1376,263,26,162,473,1010,92,55,,1376,162,473,1010,158,133
173,94,1407,255,30,141,563,906,165,76,,1407,141,563,906,138,122
174,98,1391,223,48,138,493,924,126,60,,1391,138,493,924,109,121
175,104,1444,239,29,169,560,946,125,48,,1444,169,560,946,108,146
176,97,1465,281,26,195,536,949,68,44,,2082,277,762,1349,115,121
177,101,1352,236,30,189,585,1050,82,48,,1521,213,658,1181,113,127
178,96,1514,264,28,197,530,1032,83,43,,1514,197,530,1032,130,143
179,101,1490,268,37,174,597,1160,108,58,,1490,174,597,1160,114,136
180,106,1489,297,26,215,548,1062,98,43,,1489,215,548,1062,91,139
181,103,1481,309,23,197,608,962,148,66,,1481,197,608,962,111,122
182,95,1490,274,26,179,595,1010,148,56,59,1490,179,595,1010,129,138
183,88,1432,263,24,174,493,1039,85,46,45,1432,174,493,1039,103,133
185,101,1608,321,31,235,545,933,68,22,49,1608,235,545,933,121,166
186,96,1503,304,37,178,587,1158,86,32,59,1503,178,587,1158,116,171
187,90,1453,308,37,184,534,1084,92,32,45,1453,184,534,1084,86,170
188,79,1510,312,26,222,526,1169,52,35,52,1510,222,526,1169,99,146
189,57,1478,227,78,31,384,454,208,,,1748,37,454,537,465,125
190,93,1494,248,73,35,444,390,163,,,1780,42,529,465,326,145
191,76,1320,193,79,14,316,628,118,,,1538,16,368,732,312,110
192,69,1349,163,56,11,354,649,160,,,1438,12,377,692,285,83
194,83,1353,158,65,22,398,,240,,,1471,24,433,,314,87
195,74,1411,164,67,11,394,,153,,,1504,12,420,,284,103
196,88,1344,184,55,21,366,,134,,,1432,22,390,,253,103
197,66,1243,125,49,11,357,,147,,,1342,12,386,,288,116
198,49,1162,138,63,13,437,,178,,,1222,14,460,,405,119
199,48,1270,199,67,18,490,,133,,,1354,19,522,,382,111
200,56,1328,175,75,20,472,,185,,,1397,21,497,,358,134
201,60,1263,190,77,19,482,814,221,,,1337,20,510,862,319,132
202,75,1314,196,79,18,448,914,247,200,,1391,19,474,968,336,121
203,66,1320,175,68,20,497,805,212,168,,1389,21,523,847,353,151
204,83,1328,190,53,15,660,673,246,,,1397,16,694,708,261,126
205,60,1315,193,66,16,426,568,165,,,1383,17,448,598,296,146
206,77,1381,202,53,7,527,451,183,,,1834,9,700,599,252,114
207,78,1438,218,85,36,456,516,86,,,1676,42,531,601,249,114
208,80,1748,295,88,53,452,359,125,84,,1851,56,479,380,245,126
209,85,1741,259,112,70,434,428,97,75,,1831,74,457,450,236,134
210,98,1781,306,99,103,498,401,139,77,,1874,108,524,422,206,166
211,79,1587,264,66,87,471,451,68,58,,1691,93,502,481,188,155
212,79,1645,284,66,71,496,372,91,91,,1753,76,529,396,188,150
214,65,1524,266,82,76,460,489,65,75,,1603,80,484,514,240,176
215,62,1525,277,62,58,469,445,96,70,,1615,61,497,471,263,176
216,86,1505,290,80,66,576,504,80,45,,1583,69,606,530,194,154
218,67,1489,304,70,79,523,579,98,75,,1566,83,550,609,199,160
219,66,1531,302,65,80,513,610,77,84,,1611,84,540,642,243,168
220,66,1580,288,73,70,533,555,73,65,,1662,74,561,584,197,164
221,59,1434,262,69,69,558,597,77,64,,1538,74,599,640,161,174
222,71,1510,269,63,66,548,673,46,33,,1609,70,584,717,199,171
223,69,1541,310,54,78,632,598,48,27,,1642,83,674,637,198,147
224,61,1601,319,70,84,666,668,66,21,,1706,90,710,712,200,152
225,48,1655,344,46,75,541,536,32,28,,1741,79,569,564,183,175
227,45,1528,255,53,96,588,637,50,40,,1607,101,619,670,209,151
228,70,1497,292,61,124,585,675,54,42,,1575,130,615,710,166,188
229,74,1515,296,61,96,815,581,53,41,,1594,101,857,611,159,164
231,77,1352,244,38,83,606,689,39,46,,1441,88,646,734,162,135
232,94,1397,235,47,76,559,635,46,35,,1470,80,588,668,180,149
233,87,1397,231,40,68,536,595,27,33,,1499,73,575,638,153,132
234,69,1420,231,48,88,489,750,24,37,,1494,93,514,789,167,165
235,62,1302,199,55,95,613,698,73,52,,1370,100,645,734,141,178
236,62,1523,266,66,67,612,606,67,47,,1613,71,648,642,178,201
237,56,1369,224,32,123,664,736,40,41,,1440,129,698,774,174,162
238,61,1335,247,45,112,726,783,41,42,,1404,118,764,824,206,163
239,55,1355,235,49,90,548,729,37,40,,1425,95,576,767,180,188
240,67,1410,237,48,86,568,757,32,36,,1483,90,598,796,163,185
242,57,1377,205,52,55,492,667,32,33,,1449,58,518,702,155,160
243,60,1329,186,41,57,589,781,36,48,,1398,60,620,822,170,167
244,73,1307,208,36,96,592,763,41,44,,1375,101,623,803,140,149
245,81,1413,204,42,93,537,745,61,37,,1506,99,572,794,116,169
246,78,1306,206,20,114,511,774,35,37,,1383,121,541,820,121,168
247,78,1304,191,24,115,564,726,38,25,,1372,121,593,764,155,171
248,94,1375,217,35,129,627,843,39,25,,1446,136,660,887,113,181
249,95,1393,227,36,149,581,902,39,30,,1393,149,581,902,126,173
250,77,1363,225,34,156,516,931,45,32,,1363,156,516,931,122,152
251,86,1359,207,32,146,469,940,97,34,,1359,146,469,940,99,157
252,97,1357,229,20,162,537,1019,78,38,,1357,162,537,1019,95,159
253,94,1299,227,38,125,529,907,67,31,,1299,125,529,907,126,152
254,98,1444,246,35,177,520,938,56,44,,1462,179,527,950,116,144
255,76,1320,216,44,139,534,1008,54,37,,1328,140,537,1014,125,145
256,91,1187,215,28,133,570,1019,78,32,,1187,133,570,1019,120,131
257,109,1465,234,29,175,634,806,82,45,,1465,175,634,806,101,145
258,108,1424,213,25,179,717,952,84,39,,1424,179,717,952,117,148
259,104,1417,212,26,162,689,865,68,39,,1453,166,706,887,115,152
260,84,1213,203,31,105,533,984,82,43,,1276,110,561,1035,105,158
261,97,1474,229,48,119,648,752,146,64,,1474,119,648,752,119,184
262,91,1418,226,27,116,509,770,145,58,,1418,116,509,770,128,174
263,92,1408,228,34,126,591,850,106,56,,1435,128,602,866,109,178
264,88,1326,213,28,119,519,883,150,61,,1326,119,519,883,118,157
265,98,1442,232,25,149,563,951,91,51,,1451,150,566,957,107,190
266,91,1406,250,19,155,555,869,75,61,,1415,156,558,874,111,167
267,104,1427,263,24,184,619,863,101,50,,1454,187,631,879,127,164
268,100,1523,258,29,156,587,766,111,38,,1523,156,587,766,95,178
269,91,1362,255,17,136,623,700,63,52,,2101,210,961,1080,105,176
270,94,1478,259,27,179,634,796,49,38,,1478,179,634,796,101,140
271,98,1492,283,27,168,601,800,61,33,,1492,168,601,800,121,159
272,85,1374,234,23,160,620,884,51,36,,1374,160,620,884,123,166
273,84,1460,235,22,215,608,914,69,43,,1469,216,612,920,116,169
274,73,1425,223,13,169,563,862,64,34,,1425,169,563,862,135,163
275,67,1437,219,20,211,524,939,69,45,,1437,211,524,939,109,174
276,54,1283,200,20,138,507,874,69,44,,1291,139,510,879,119,173
277,87,1369,238,33,129,593,957,118,55,,1369,129,593,957,87,163
278,76,1336,235,22,133,664,968,95,52,,1344,134,668,974,92,152
279,67,1421,256,29,170,528,974,50,33,,1421,170,528,974,89,172
280,89,1423,243,36,148,647,827,89,48,,1423,148,647,827,93,168
281,85,1470,287,24,157,655,930,73,54,,1470,157,655,930,100,171
282,91,1514,268,29,201,634,947,100,19,,2190,291,917,1370,82,149
283,80,1425,258,30,195,646,903,104,51,,1603,219,727,1016,81,159
284,88,1557,299,29,257,645,915,76,40,,1557,257,645,915,97,173
285,98,1498,264,22,196,586,952,63,26,,1498,196,586,952,97,148
286,79,1520,303,11,214,593,903,86,48,,1520,214,593,903,81,144
287,78,1572,299,21,203,615,890,107,46,,1572,203,615,890,89,192
288,74,1508,310,22,184,558,900,126,65,49,1508,184,558,900,116,151
289,63,1367,264,24,137,517,995,134,53,77,1375,138,520,1001,126,138
290,67,1353,311,27,165,452,993,110,48,64,1353,165,452,993,91,173
292,78,1614,319,18,169,528,949,101,41,57,1614,169,528,949,110,161
293,74,1492,296,27,189,447,902,83,37,54,1492,189,447,902,107,154
295,44,1533,221,79,25,664,450,196,,,1881,31,815,552,603,
296,86,1356,190,79,41,461,816,245,,,1455,44,495,875,260,117
297,79,1344,206,72,43,448,626,196,,,1432,46,477,667,247,119
298,105,2241,282,105,42,81,84,105,45,,6723,126,243,252,1296,
299,98,2343,344,113,35,116,72,61,29,,6778,101,336,208,1059,
301,42,1187,133,53,9,160,477,,,,2634,20,355,1059,1083,91
302,47,1468,211,83,8,273,559,,,,2477,14,461,943,1053,
303,96,1369,203,128,49,322,833,,,,2092,75,492,1273,705,
304,61,1244,184,88,25,415,786,,,,1849,37,617,1168,623,
305,59,1169,153,63,10,469,746,333,,,1446,12,580,923,648,
306,92,1604,242,120,37,563,401,654,,,1925,44,676,481,659,
307,67,1263,192,83,22,352,566,385,,,1493,26,416,669,545,
308,84,1451,186,82,24,502,643,373,,,1741,29,602,772,643,
309,71,1325,162,76,10,596,724,481,,,6313,48,2840,3450,519,
310,85,1460,170,119,36,661,664,410,,,1752,43,793,797,604,
311,51,1479,176,122,33,550,529,250,,,1630,36,606,583,644,
312,75,1596,204,107,34,669,403,290,,,1989,42,834,502,479,
313,113,2084,343,190,42,653,253,410,,,2638,53,826,320,371,
314,108,1907,293,111,31,442,303,386,,,2376,39,551,378,359,
315,113,1944,260,126,29,485,252,554,,,2441,36,609,316,372,
316,112,1974,303,82,24,545,319,500,,,2460,30,679,398,345,
317,104,1722,167,84,13,564,344,272,,,1872,14,613,374,354,
318,94,1652,223,78,19,458,419,398,,,1808,21,501,459,337,
319,88,1445,234,70,34,512,620,160,,,1520,36,539,652,272,110
320,49,1299,206,56,38,494,674,135,,,1366,40,520,709,287,147
321,89,1469,231,40,26,222,1006,,,,2266,40,343,1552,941,
322,108,2300,378,200,16,324,103,394,,,12420,86,1750,556,1215,
323,134,2333,393,107,24,97,90,162,48,,8041,83,334,310,907,
324,118,2554,376,126,36,170,66,107,74,,7013,99,467,181,1192,
325,120,2270,301,132,42,74,0,,,,5253,97,171,0,1058,
326,146,2305,322,111,29,64,0,,,,4727,59,131,0,951,
327,94,1612,218,124,44,394,336,187,,,1920,52,469,400,392,124
328,91,1603,231,112,50,325,443,156,,,1896,59,384,524,302,119
329,107,1568,261,133,56,308,659,166,,,1841,66,362,774,276,101
330,100,1361,204,110,27,365,600,106,,,1432,28,384,631,248,87
331,83,1257,176,74,31,518,,140,,,1340,33,552,,309,80
332,52,1287,168,79,14,313,,104,,,1354,15,329,,350,88
333,64,1331,167,52,20,332,,136,,,1447,22,361,,292,112
334,79,1303,123,93,15,304,,176,,,1371,16,320,,311,75
335,94,1402,162,74,21,373,,231,,,1504,23,400,,312,102
336,86,1429,185,92,46,455,,205,,,1513,49,482,,326,85
337,83,1460,215,70,37,536,,201,,,1546,39,568,,341,98
338,112,1496,287,90,31,602,,197,,,1594,33,642,,284,94
339,85,1441,238,109,18,503,577,204,,,1556,19,543,623,257,91
340,96,1353,239,90,19,519,581,187,186,,1433,20,550,615,256,105
341,108,1403,217,82,15,565,511,127,126,,1505,16,606,548,242,102
342,96,1311,207,59,15,488,507,136,,,1379,16,513,533,193,114
343,96,1325,211,68,15,497,504,112,,,1412,16,530,537,195,124
344,96,1273,204,69,19,522,417,141,,,1637,24,671,536,195,114
345,78,1405,214,58,39,557,486,128,,,1661,46,659,575,169,140
346,76,1479,229,75,23,564,454,104,118,,1566,24,597,481,194,139
347,79,1515,261,73,18,450,362,87,68,,1594,19,473,381,165,159
349,65,1443,270,58,36,417,512,82,97,,1538,38,444,546,247,134
351,50,1465,274,68,44,547,450,45,60,,1561,47,583,480,282,160
352,49,1403,264,57,34,492,476,51,54,,1486,36,521,504,193,151
353,54,1418,285,82,29,452,480,86,48,,1492,31,475,505,234,170
354,60,1436,275,66,40,412,542,105,68,,1520,42,436,574,182,147
355,61,1449,300,73,29,434,520,89,84,,1524,31,457,547,229,167
356,55,1465,270,72,49,377,581,44,37,,1541,52,397,611,204,169
358,45,1400,266,60,56,493,567,48,48,,1473,59,519,596,243,174
359,68,1530,320,61,54,571,504,63,40,,1663,59,621,548,224,145
360,81,1561,306,75,54,650,570,124,50,,1664,58,693,608,201,150
361,83,1544,298,67,73,645,498,96,62,,1635,77,683,527,201,144
362,78,1562,303,65,90,614,489,58,46,,1643,95,646,514,170,146
363,85,1605,287,68,107,641,594,84,65,,1711,114,683,633,187,148
364,96,1703,324,61,107,707,503,60,55,,1852,116,769,547,203,187
365,95,1655,308,61,133,634,542,45,47,,1776,143,680,581,192,158
366,86,1647,317,84,153,621,628,58,52,,1733,161,653,661,182,164
369,72,1400,238,45,61,518,630,92,65,,1492,65,552,671,163,191
370,81,1532,291,59,73,549,531,63,42,,1612,77,578,559,181,162
371,75,1465,237,46,53,569,562,76,53,,1541,56,599,591,177,208
373,87,1485,217,57,108,701,621,43,37,,1562,114,737,653,144,181
374,100,1537,290,42,126,860,577,40,18,,1606,132,899,603,121,182
375,101,1578,286,38,138,878,536,45,26,,1660,145,924,564,126,218
376,99,1751,302,64,169,756,612,34,18,,1842,178,795,644,117,190
377,92,1502,245,34,134,795,625,21,22,,1580,141,836,657,145,194
378,80,1408,245,36,119,570,777,62,49,,1481,125,600,817,150,190
379,89,1466,270,39,107,525,636,35,48,,1552,113,556,673,156,183
380,73,1511,257,43,129,688,694,54,32,,1589,136,724,730,185,171
381,88,1464,254,41,144,744,771,45,18,,1540,151,783,811,143,147
383,86,1452,243,34,161,656,777,31,22,,1527,169,690,817,157,188
384,83,1404,241,32,163,671,863,31,23,,1477,171,706,908,153,181
385,79,1404,261,29,131,659,852,72,26,,1477,138,693,896,137,176
386,68,1430,246,34,130,600,839,36,29,,1504,137,631,883,147,164
387,76,1401,251,37,112,647,847,56,36,,1401,112,647,847,143,140
389,76,1412,249,34,172,478,960,27,16,,1421,173,481,966,133,120
390,72,1425,253,29,186,504,917,18,16,,1425,186,504,917,136,123
391,62,1378,244,40,165,607,964,47,24,,1378,165,607,964,159,129
392,72,1318,228,44,145,542,1020,35,24,,1318,145,542,1020,153,153
393,92,1394,216,39,158,522,1020,68,59,,1394,158,522,1020,142,142
394,86,1253,207,17,125,582,974,76,62,,1253,125,582,974,128,147
395,87,1381,234,37,197,658,923,41,47,,1381,197,658,923,157,178
397,85,1360,246,28,161,552,871,51,34,,1360,161,552,871,116,149
399,89,1472,235,30,147,581,799,114,45,,1472,147,581,799,127,162
400,84,1449,236,31,109,569,811,104,58,,1449,109,569,811,145,156
401,96,1519,288,45,136,572,750,67,59,,1538,138,579,759,137,144
402,83,1448,257,53,134,500,832,95,70,,1448,134,500,832,139,148
404,98,1484,268,46,171,578,830,74,51,,1475,170,574,825,145,170
405,92,1587,314,34,196,518,717,61,44,,1607,198,524,726,144,168
406,84,1608,301,36,164,481,729,80,49,,1628,166,487,738,151,209
408,89,1536,271,31,136,547,736,42,39,,1536,136,547,736,121,172
409,78,1512,287,32,142,536,758,30,26,,1512,142,536,758,130,168
411,81,1615,292,31,162,562,816,66,27,,1615,162,562,816,145,161
413,78,1554,273,26,174,606,825,77,45,,1554,174,606,825,110,158
415,83,1571,326,30,108,643,755,56,35,,1571,108,643,755,127,162
416,88,1502,298,31,106,598,795,53,52,,1502,106,598,795,123,154
417,84,1486,305,25,126,593,820,59,39,,1486,126,593,820,116,165
418,73,1343,259,21,84,591,865,44,48,,1343,84,591,865,139,170
419,80,1451,319,29,114,508,871,73,38,,1451,114,508,871,122,155
420,76,1462,313,27,169,569,1018,114,54,,2060,238,802,1434,114,175
421,97,1574,322,35,197,630,1038,111,50,,1771,222,709,1168,135,170
422,85,1631,308,31,209,642,1020,91,44,,1631,209,642,1020,135,152
423,78,1684,373,32,185,514,1044,68,48,,1684,185,514,1044,136,179
424,92,1568,338,35,205,541,1049,72,39,,1568,205,541,1049,105,128
425,94,1551,334,42,176,597,928,67,39,,1551,176,597,928,127,131
426,85,1503,316,32,167,611,1019,43,30,42,1503,167,611,1019,109,120
427,83,1502,318,29,199,523,1138,46,35,70,1511,200,526,1145,114,130
428,93,1560,348,33,177,545,944,80,28,72,1560,177,545,944,104,140
429,95,1667,371,40,238,620,943,88,35,53,1667,238,620,943,113,130
430,98,1613,373,25,222,659,1189,68,30,69,1613,222,659,1189,118,129
431,95,1579,339,21,199,653,1044,45,12,47,1579,199,653,1044,109,135
432,86,1510,327,16,192,672,1056,51,23,66,1510,192,672,1056,66,174
