"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2008","Phillies","2396","6273","214","799","762","136","9.3 %","17.8 %",".182",".283",".255",".332",".438",".334","98","23.6","4.7","107.5","31.4"
"2002","Mariners","2251","6362","152","814","771","137","9.9 %","15.8 %",".144",".307",".275",".350",".419",".335","110","12.9","87.6","8.8","31.3"
"2010","Rays","2361","6270","160","802","769","172","10.7 %","20.6 %",".156",".293",".247",".333",".403",".326","106","37.6","78.6","8.7","31.3"
"2008","Rays","2299","6312","180","774","735","142","9.9 %","19.4 %",".162",".302",".260",".340",".422",".335","105","5.6","43.8","52.0","31.1"
"2003","Mariners","2180","6281","139","795","759","108","9.3 %","15.7 %",".139",".306",".271",".344",".410",".331","104","2.4","36.5","62.6","31.1"
"2008","Cubs","2345","6384","184","855","811","87","10.0 %","18.6 %",".165",".321",".278",".354",".443",".349","104","6.1","33.2","70.9","31.0"
"2005","Indians","2166","6255","207","790","760","62","8.0 %","17.5 %",".181",".302",".271",".334",".453",".340","110","3.6","76.4","20.2","30.9"
"2007","Tigers","2269","6364","177","887","857","103","7.4 %","16.6 %",".171",".323",".287",".345",".458",".347","108","8.0","75.1","19.4","30.7"
"2002","Cardinals","2366","6246","175","787","758","86","8.7 %","14.8 %",".157",".292",".268",".338",".425",".331","101","11.7","18.1","82.2","30.4"
"2014","Angels","2468","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.7","67.7","3.6","30.0"
"2007","Red Sox","2278","6426","166","867","829","96","10.7 %","16.2 %",".165",".315",".279",".362",".444",".352","109","-5.0","70.7","11.8","29.7"
"2005","Braves","2347","6186","184","769","733","92","8.6 %","17.5 %",".170",".298",".265",".333",".435",".331","100","-1.7","-3.1","96.7","29.6"
"2011","Rays","2284","6152","172","707","674","155","9.3 %","19.4 %",".159",".281",".244",".322",".402",".319","103","10.4","35.1","43.7","29.4"
"2005","Phillies","2273","6345","167","807","760","116","10.1 %","17.1 %",".154",".306",".270",".348",".423",".335","98","9.2","-2.9","88.2","29.3"
"2012","Yankees","2367","6231","245","804","774","93","9.1 %","18.9 %",".188",".293",".265",".337",".453",".342","113","1.9","96.9","-24.8","29.2"
"2004","Braves","2349","6339","178","803","767","86","9.3 %","18.3 %",".164",".309",".270",".343",".434",".336","100","14.1","13.0","71.5","29.0"
"2011","Diamondbacks","2230","6096","172","731","702","133","8.7 %","20.5 %",".163",".294",".250",".322",".413",".322","97","9.0","-14.8","99.4","29.0"
"2013","Rays","2423","6242","165","700","670","73","9.4 %","18.8 %",".151",".295",".257",".329",".408",".324","107","-0.3","47.3","15.1","28.9"
"2011","Reds","2358","6329","183","735","697","97","8.5 %","19.8 %",".152",".297",".256",".326",".408",".322","99","8.7","3.6","71.0","28.7"
"2014","Orioles","2294","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-5.9","22.2","41.9","28.7"
"2009","Angels","2246","6305","173","883","841","148","8.7 %","16.7 %",".156",".322",".285",".350",".441",".346","108","8.6","75.5","-4.5","28.7"
"2008","Mets","2405","6388","172","799","751","138","9.7 %","16.0 %",".154",".296",".266",".340",".420",".332","100","12.7","13.4","66.1","28.6"
"2002","Yankees","2135","6377","223","897","857","100","10.0 %","18.4 %",".180",".310",".275",".354",".455",".352","116","-1.0","122.9","-55.4","28.5"
"2011","Cardinals","2403","6242","162","762","726","57","8.7 %","15.7 %",".151",".305",".273",".341",".425",".334","112","-16.5","72.3","2.7","28.4"
"2012","Cardinals","2391","6326","159","765","732","91","8.4 %","18.8 %",".150",".316",".271",".338",".421",".329","106","-3.0","45.1","28.9","28.3"
"2012","Giants","2384","6200","103","718","675","118","7.8 %","17.7 %",".128",".315",".269",".327",".397",".314","101","12.4","21.8","55.9","28.3"
"2003","Giants","2272","6204","180","755","713","53","9.6 %","15.8 %",".161",".291",".264",".338",".425",".330","100","-8.3","-11.7","94.8","28.2"
"2002","Angels","2307","6327","152","851","811","117","7.3 %","12.7 %",".150",".303",".282",".341",".433",".336","105","12.5","49.4","16.5","28.2"
"2006","Mets","2279","6291","200","834","800","146","8.7 %","17.0 %",".181",".293",".264",".334",".445",".334","99","20.5","13.8","66.4","28.1"
"2004","Dodgers","2357","6244","203","761","731","102","8.6 %","17.5 %",".161",".291",".262",".332",".423",".327","97","1.7","-19.9","96.9","28.0"
"2013","Dodgers","2336","6145","138","649","618","78","7.7 %","18.6 %",".133",".308",".264",".326",".396",".317","103","-6.2","16.5","58.8","27.8"
"2013","Athletics","2313","6209","186","767","725","74","9.2 %","19.0 %",".165",".289",".254",".327",".419",".327","108","9.3","65.5","-12.5","27.8"
"2007","Mets","2335","6344","177","804","761","200","8.7 %","15.5 %",".157",".303",".275",".342",".432",".336","100","14.2","17.4","57.5","27.7"
"2005","Red Sox","2344","6403","199","910","863","45","10.2 %","16.3 %",".174",".310",".281",".357",".454",".352","112","-2.9","92.8","-33.9","27.6"
"2004","Giants","2405","6466","183","850","805","43","10.9 %","13.5 %",".168",".290",".270",".357",".438",".340","105","-6.0","35.7","28.4","27.5"
"2014","Pirates","2362","6224","156","682","659","104","8.4 %","20.0 %",".145",".307",".259",".330",".404",".325","108","4.7","62.5","1.2","27.2"
"2007","Braves","2398","6374","176","810","781","64","8.4 %","18.0 %",".160",".314",".275",".339",".435",".337","99","-6.2","-12.5","80.5","27.2"
"2005","Cardinals","2324","6246","170","805","757","83","8.5 %","15.2 %",".153",".297",".270",".339",".423",".331","100","9.0","12.4","54.7","27.1"
"2013","Giants","2396","6168","107","629","596","67","7.6 %","17.5 %",".121",".304",".260",".320",".381",".309","100","-4.6","-2.2","69.0","26.9"
"2012","Brewers","2415","6224","202","776","741","158","7.5 %","19.9 %",".177",".299",".259",".325",".437",".329","102","12.7","30.1","33.2","26.9"
"2011","Brewers","2292","6113","185","721","693","94","7.9 %","17.7 %",".164",".293",".261",".325",".425",".327","103","0.3","20.6","43.4","26.9"
"2013","Tigers","2274","6388","176","796","767","35","8.3 %","16.8 %",".151",".320",".283",".346",".434",".341","114","-21.4","81.3","-42.9","26.8"
"2013","Orioles","2246","6144","212","745","719","79","6.8 %","18.3 %",".171",".288",".260",".313",".431",".323","101","14.1","16.7","29.7","26.8"
"2010","Brewers","2262","6304","182","750","710","81","8.7 %","19.3 %",".161",".304",".262",".335",".424",".334","104","0.6","32.4","30.3","26.8"
"2004","Indians","2287","6452","184","858","820","94","9.4 %","15.6 %",".168",".305",".276",".351",".444",".345","109","-4.7","72.7","-18.2","26.8"
"2004","Phillies","2317","6456","215","840","802","100","10.0 %","17.5 %",".176",".297",".267",".345",".443",".340","100","5.5","5.8","50.4","26.7"
"2010","Twins","2290","6257","142","781","749","68","8.9 %","15.5 %",".148",".306",".273",".341",".422",".335","106","-15.8","29.5","13.7","26.6"
"2003","Yankees","2180","6431","230","877","845","98","10.6 %","16.2 %",".182",".295",".271",".356",".453",".351","115","-0.3","119.4","-72.0","26.5"
"2003","Phillies","2227","6333","166","791","757","72","10.3 %","18.2 %",".158",".301",".261",".343",".419",".332","100","1.2","1.3","59.1","26.4"
"2003","Astros","2390","6320","191","805","763","66","8.8 %","16.2 %",".169",".289",".263",".336",".431",".333","97","10.9","-15.9","76.6","26.4"
"2010","Giants","2354","6143","162","697","660","55","7.9 %","17.9 %",".151",".293",".257",".321",".408",".320","98","-18.3","-31.6","94.2","26.3"
"2006","Padres","2396","6287","161","731","698","123","9.0 %","17.6 %",".154",".299",".263",".332",".416",".325","99","5.2","-5.0","65.1","26.1"
"2004","Padres","2316","6313","139","768","722","52","9.0 %","14.4 %",".141",".301",".273",".342",".414",".329","103","8.1","30.5","22.3","25.9"
"2006","Phillies","2410","6509","216","865","823","92","9.6 %","18.5 %",".180",".302",".267",".347",".447",".341","100","18.5","15.5","34.6","25.9"
"2009","Dodgers","2352","6385","145","780","739","116","9.5 %","16.7 %",".141",".309",".270",".346",".412",".332","102","4.0","18.7","34.1","25.8"
"2013","Braves","2293","6133","181","688","656","64","8.8 %","22.6 %",".153",".300",".249",".321",".402",".318","102","-5.1","4.4","52.5","25.8"
"2002","Twins","2289","6196","167","768","731","79","7.6 %","17.6 %",".165",".309",".272",".332",".437",".334","101","-5.6","1.1","45.0","25.7"
"2012","Braves","2264","6126","149","700","660","101","9.3 %","21.0 %",".142",".296",".247",".320",".389",".310","92","7.1","-49.0","104.2","25.7"
"2013","Angels","2311","6260","164","733","696","82","8.4 %","19.5 %",".150",".307",".264",".329",".414",".325","109","-9.7","54.8","-24.0","25.6"
"2008","Rangers","2281","6478","194","901","867","81","9.2 %","18.6 %",".179",".325",".283",".354",".462",".355","112","11.1","108.1","-73.4","25.6"
"2014","Nationals","2265","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.4","8.5","39.5","25.5"
"2006","Blue Jays","2329","6241","199","809","778","65","8.2 %","14.5 %",".179",".306",".284",".348",".463",".349","107","-15.0","43.6","3.4","25.4"
"2004","Cubs","2290","6281","235","789","755","66","7.8 %","17.2 %",".190",".292",".268",".328",".458",".336","98","-12.0","-26.2","74.9","25.4"
"2008","Brewers","2227","6252","198","750","722","108","8.8 %","19.2 %",".179",".287",".253",".325",".431",".329","97","8.9","-11.7","61.6","25.2"
"2007","Brewers","2330","6238","231","801","774","96","8.0 %","18.2 %",".194",".289",".262",".329",".456",".337","100","7.4","7.7","44.1","25.1"
"2010","Tigers","2274","6312","152","751","717","69","8.7 %","18.2 %",".147",".311",".268",".335",".415",".330","102","9.7","23.9","2.2","25.1"
"2014","Athletics","2358","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","10.3","26.5","0.2","25.0"
"2009","Brewers","2321","6296","182","785","757","68","9.7 %","19.6 %",".164",".305",".263",".341",".426",".336","103","-9.6","10.2","36.5","24.9"
"2012","Nationals","2338","6221","194","731","688","105","7.7 %","21.3 %",".166",".308",".261",".322",".428",".324","101","-4.6","4.2","39.3","24.8"
"2012","Rangers","2236","6216","200","808","780","91","7.7 %","17.7 %",".173",".306",".273",".334",".446",".336","106","-5.1","40.2","-10.1","24.8"
"2004","Red Sox","2417","6515","222","949","912","68","10.1 %","18.3 %",".190",".319",".282",".360",".472",".358","114","-17.1","97.9","-66.6","24.7"
"2004","Astros","2391","6271","187","804","756","89","9.4 %","15.9 %",".169",".293",".267",".342",".436",".336","98","10.0","-6.8","48.7","24.7"
"2009","Red Sox","2317","6344","212","872","822","126","10.4 %","17.7 %",".184",".301",".270",".352",".454",".351","106","-7.7","40.7","-13.2","24.5"
"2014","Blue Jays","2397","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.8","45.7","-21.3","24.4"
"2010","Red Sox","2327","6356","211","818","782","68","9.2 %","17.9 %",".183",".299",".268",".339",".451",".345","109","-7.2","59.7","-41.3","24.4"
"2010","Phillies","2277","6291","166","772","736","108","8.9 %","16.9 %",".153",".292",".260",".332",".413",".327","99","13.3","5.5","33.5","24.3"
"2006","Yankees","2430","6455","210","930","902","139","10.1 %","16.3 %",".177",".315",".285",".363",".461",".356","113","7.4","118.9","-91.9","24.2"
"2002","Red Sox","2172","6332","177","859","810","80","8.6 %","14.9 %",".168",".302",".277",".345",".444",".343","107","-0.4","54.5","-28.8","24.2"
"2003","Twins","2269","6324","155","801","755","94","8.1 %","16.2 %",".154",".312",".277",".341",".431",".335","102","1.8","19.8","5.4","24.0"
"2013","Reds","2286","6293","155","698","664","67","9.3 %","19.8 %",".142",".293",".249",".327",".391",".316","96","-0.7","-31.6","67.1","24.0"
"2008","Indians","2199","6299","171","805","772","77","8.9 %","19.3 %",".162",".305",".262",".339",".424",".334","103","0.7","24.6","-0.4","23.9"
"2002","Phillies","2260","6323","165","710","676","104","10.1 %","17.3 %",".163",".294",".259",".339",".422",".331","101","1.1","5.4","27.8","23.9"
"2013","Pirates","2369","6135","161","634","603","94","7.6 %","21.7 %",".151",".294",".245",".313",".396",".312","99","1.1","-4.1","42.9","23.8"
"2002","Dodgers","2302","6147","155","713","693","96","7.0 %","15.3 %",".146",".291",".264",".320",".409",".317","96","-3.5","-36.3","73.4","23.7"
"2006","Braves","2435","6284","222","849","818","52","8.4 %","18.6 %",".184",".304",".270",".337",".455",".339","100","-13.4","-13.1","48.1","23.7"
"2008","Astros","2312","6051","167","712","684","114","7.4 %","17.4 %",".152",".296",".263",".323",".415",".322","94","0.4","-49.2","90.4","23.7"
"2014","Tigers","2330","6202","155","757","731","106","7.1 %","18.4 %",".150",".319",".277",".331",".426",".331","112","-8.6","71.7","-57.9","23.4"
"2004","Angels","2217","6296","162","836","783","143","7.1 %","15.0 %",".147",".312",".282",".341",".429",".334","103","2.2","23.8","1.4","23.4"
"2003","Marlins","2190","6186","157","751","709","150","8.3 %","15.8 %",".155",".296",".266",".333",".421",".327","99","2.8","-7.6","41.8","23.4"
"2006","Cardinals","2359","6225","184","781","745","59","8.5 %","14.8 %",".163",".292",".269",".337",".431",".331","98","5.9","-13.3","46.0","23.3"
"2012","Reds","2211","6115","172","669","636","87","7.9 %","20.7 %",".159",".296",".251",".315",".411",".314","93","15.4","-34.1","65.9","23.2"
"2011","Tigers","2309","6231","169","787","750","49","8.4 %","18.3 %",".157",".318",".277",".340",".434",".337","109","-15.2","48.5","-30.2","23.2"
"2004","White Sox","2245","6197","242","865","823","78","8.1 %","16.6 %",".189",".288",".268",".333",".457",".340","101","-1.6","7.3","19.4","23.2"
"2005","Reds","2309","6321","222","820","784","72","9.7 %","20.6 %",".185",".302",".261",".339",".446",".340","103","12.9","35.5","-10.3","23.2"
"2010","Cardinals","2347","6241","150","736","689","79","8.7 %","16.5 %",".139",".296",".263",".332",".402",".322","99","1.8","-6.8","35.6","23.1"
"2007","Rockies","2407","6498","171","860","823","100","9.6 %","17.7 %",".158",".322",".280",".354",".437",".346","97","10.1","-19.4","41.6","23.1"
"2002","Athletics","2312","6291","205","800","772","46","9.7 %","16.0 %",".171",".284",".261",".339",".432",".337","106","10.1","59.2","-42.7","23.1"
"2005","Athletics","2164","6275","155","772","739","31","8.6 %","13.1 %",".145",".281",".262",".330",".407",".323","99","12.0","3.9","13.7","23.0"
"2010","Padres","2352","6148","132","665","630","124","8.8 %","19.2 %",".125",".290",".246",".317",".371",".304","92","9.3","-50.2","80.8","23.0"
"2014","Giants","2353","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.1","-5.5","34.4","23.0"
"2013","Royals","2236","6093","112","648","620","153","6.9 %","17.2 %",".119",".300",".260",".315",".379",".305","89","18.2","-57.4","68.2","22.8"
"2009","Cardinals","2358","6168","160","730","694","75","8.6 %","16.9 %",".152",".296",".263",".332",".415",".325","98","13.4","-1.6","30.9","22.7"
"2006","Twins","2226","6228","143","801","754","101","7.9 %","14.0 %",".138",".316",".287",".347",".425",".334","101","-1.4","5.9","13.5","22.7"
"2002","White Sox","2208","6208","217","856","819","75","8.9 %","15.3 %",".181",".287",".268",".338",".449",".342","105","-1.2","40.1","-26.9","22.5"
"2003","White Sox","2277","6148","220","791","766","77","8.4 %","14.9 %",".182",".279",".263",".331",".446",".336","101","-5.1","3.1","12.9","22.5"
"2003","Padres","2384","6246","128","678","641","76","9.0 %","17.2 %",".127",".301",".261",".333",".388",".318","95","2.0","-38.3","60.8","22.4"
"2011","Angels","2187","6088","155","667","629","135","7.3 %","17.8 %",".149",".288",".253",".313",".402",".313","98","-3.8","-14.6","28.1","22.2"
"2002","Diamondbacks","2331","6318","165","819","783","92","10.2 %","16.1 %",".156",".298",".267",".346",".423",".335","97","1.8","-21.0","36.6","22.1"
"2004","Orioles","2278","6431","169","842","803","101","8.2 %","14.8 %",".150",".309",".281",".345",".432",".337","103","6.4","31.9","-25.2","22.0"
"2010","Blue Jays","2206","6072","257","755","732","58","7.8 %","19.2 %",".206",".269",".248",".312",".454",".334","105","-12.3","25.1","-20.8","21.9"
"2002","Rangers","2389","6336","230","843","807","62","8.7 %","16.7 %",".186",".292",".269",".338",".455",".343","103","3.0","25.8","-22.9","21.9"
"2006","Tigers","2214","6198","203","822","785","60","6.9 %","18.3 %",".174",".310",".274",".329",".449",".334","99","-1.6","-12.2","23.4","21.8"
"2004","Yankees","2281","6364","242","897","863","84","10.5 %","15.4 %",".189",".285",".268",".353",".458",".350","112","-7.1","94.1","-88.1","21.7"
"2007","Indians","2225","6367","178","811","784","72","9.3 %","18.9 %",".159",".310",".268",".343",".428",".336","104","0.3","31.9","-29.6","21.7"
"2010","Rangers","2312","6302","162","787","740","123","8.1 %","15.6 %",".143",".307",".276",".338",".419",".333","98","4.5","-7.1","0.9","21.7"
"2004","Tigers","2255","6285","201","827","800","86","8.2 %","18.2 %",".177",".308",".272",".337",".449",".339","106","3.9","49.5","-41.5","21.7"
"2007","Angels","2230","6198","123","822","776","139","8.2 %","14.2 %",".133",".315",".284",".345",".417",".333","100","3.7","5.3","2.0","21.6"
"2011","Dodgers","2304","6094","117","644","613","126","8.2 %","17.8 %",".118",".299",".257",".322",".375",".307","95","10.2","-24.6","39.6","21.6"
"2013","Rangers","2321","6196","176","730","691","149","7.5 %","17.2 %",".150",".294",".262",".323",".412",".323","97","2.0","-22.5","18.3","21.6"
"2010","Diamondbacks","2271","6183","180","713","691","86","9.5 %","24.7 %",".166",".312",".250",".325",".416",".325","93","-8.3","-62.8","78.0","21.5"
"2014","Cardinals","2324","6086","105","619","585","57","7.7 %","18.6 %",".116",".300",".253",".320",".369",".308","95","-14.5","-48.0","63.3","21.5"
"2014","Royals","2273","6058","95","651","604","153","6.3 %","16.3 %",".113",".302",".263",".314",".376",".306","92","3.1","-49.5","50.5","21.5"
"2010","Braves","2376","6252","139","738","699","63","10.1 %","18.2 %",".143",".301",".258",".339",".401",".327","100","-2.1","-2.9","15.7","21.5"
"2012","Padres","2384","6112","121","651","610","155","8.8 %","20.3 %",".133",".297",".247",".319",".380",".307","97","12.5","-9.7","24.5","21.4"
"2013","Cardinals","2341","6202","125","783","745","45","7.8 %","17.9 %",".133",".314",".269",".332",".401",".322","104","-9.9","20.2","-6.4","21.3"
"2005","Cubs","2276","6161","194","703","674","65","6.8 %","14.9 %",".170",".291",".270",".324",".440",".329","95","-5.6","-47.4","59.4","21.3"
"2012","Phillies","2294","6172","158","684","659","116","7.4 %","17.7 %",".144",".290",".255",".317",".400",".311","93","11.2","-40.3","52.0","21.3"
"2006","Indians","2135","6303","196","870","839","55","8.8 %","19.1 %",".177",".324",".280",".349",".457",".347","108","-2.9","62.8","-61.4","21.2"
"2013","Diamondbacks","2349","6334","130","685","647","62","8.2 %","18.0 %",".133",".301",".259",".323",".391",".314","93","-18.8","-69.7","78.0","21.2"
"2008","Braves","2407","6368","130","753","721","58","9.7 %","16.1 %",".138",".309",".270",".345",".408",".332","99","-5.8","-12.5","18.2","21.1"
"2007","Cubs","2379","6268","151","752","711","86","8.0 %","16.8 %",".150",".308",".271",".333",".422",".329","90","-3.9","-87.0","96.7","21.1"
"2009","Twins","2315","6346","172","817","770","85","9.2 %","16.1 %",".155",".306",".274",".345",".429",".338","104","15.3","42.9","-49.1","21.1"
"2012","Rays","2406","6105","175","697","665","134","9.4 %","21.7 %",".155",".284",".240",".317",".394",".311","100","-2.9","-3.2","1.9","21.1"
"2012","Athletics","2247","6183","195","713","676","122","8.9 %","22.4 %",".166",".281",".238",".310",".404",".311","97","20.1","1.0","-5.3","21.0"
"2003","Pirates","2346","6315","163","753","711","86","8.4 %","16.6 %",".153",".302",".267",".338",".420",".331","97","5.5","-23.5","29.3","21.0"
"2005","Tigers","2211","6136","168","723","678","66","6.3 %","16.9 %",".157",".304",".272",".321",".428",".324","99","5.5","-5.1","5.9","20.9"
"2005","Rangers","2193","6301","260","865","834","67","7.9 %","17.6 %",".201",".290",".267",".329",".468",".344","106","6.2","49.1","-54.3","20.8"
"2007","Marlins","2423","6344","201","790","749","105","8.2 %","21.0 %",".181",".315",".267",".336",".448",".340","101","3.8","9.4","-6.3","20.7"
"2006","Dodgers","2384","6394","153","820","787","128","9.4 %","15.0 %",".157",".307",".276",".348",".432",".337","101","-4.8","3.4","-2.6","20.7"
"2012","Diamondbacks","2213","6150","165","734","710","93","8.8 %","20.6 %",".159",".307",".259",".328",".418",".323","97","-4.3","-29.4","36.0","20.7"
"2008","Marlins","2361","6206","208","770","741","76","8.7 %","22.1 %",".179",".300",".254",".326",".433",".330","96","5.7","-27.5","33.5","20.6"
"2005","Devil Rays","2245","6120","157","750","717","151","6.7 %","16.2 %",".151",".306",".274",".329",".425",".327","101","10.3","15.0","-16.4","20.6"
"2011","Phillies","2203","6279","153","713","693","96","8.6 %","16.3 %",".142",".283",".253",".323",".395",".315","96","3.5","-29.5","28.9","20.6"
"2004","Athletics","2217","6459","189","793","752","47","9.4 %","16.4 %",".163",".300",".270",".343",".433",".337","102","-5.8","10.7","-20.0","20.6"
"2002","Braves","2319","6224","164","708","669","76","9.0 %","16.5 %",".150",".290",".260",".331",".409",".322","94","-7.9","-57.8","60.4","20.5"
"2011","Royals","2134","6267","129","730","705","153","7.1 %","16.1 %",".140",".311",".275",".329",".415",".325","101","0.7","4.5","-13.7","20.4"
"2005","Padres","2380","6271","130","684","655","99","9.6 %","15.6 %",".134",".289",".257",".333",".391",".318","98","-0.3","-19.8","17.7","20.3"
"2003","Rangers","2311","6293","239","826","799","65","7.8 %","16.7 %",".188",".287",".266",".330",".454",".338","99","7.8","-1.8","-9.5","20.2"
"2010","Athletics","2255","6117","109","663","619","156","8.6 %","17.3 %",".122",".297",".256",".324",".378",".313","95","17.8","-20.6","6.9","20.2"
"2003","Angels","2286","6119","150","736","687","129","7.8 %","13.7 %",".144",".291",".268",".330",".413",".323","96","-4.9","-32.9","27.1","20.2"
"2006","Marlins","2354","6191","182","758","713","110","8.0 %","20.2 %",".171",".309",".264",".331",".435",".329","96","12.6","-18.2","20.0","20.2"
"2009","Marlins","2394","6312","159","772","727","75","9.0 %","19.4 %",".148",".316",".268",".340",".416",".332","97","4.5","-16.7","14.4","20.0"
"2006","Reds","2335","6296","217","749","718","124","9.8 %","18.9 %",".175",".290",".257",".336",".432",".332","94","16.4","-36.5","31.1","19.8"
"2006","Mariners","2259","6213","172","756","703","106","6.5 %","15.7 %",".153",".300",".272",".325",".424",".322","95","4.0","-37.6","26.5","19.7"
"2009","Mariners","2150","6113","160","640","613","89","6.9 %","17.9 %",".144",".293",".258",".314",".402",".313","89","-4.5","-87.0","75.2","19.7"
"2013","Indians","2337","6165","171","745","711","117","9.1 %","20.8 %",".155",".300",".255",".327",".410",".324","104","10.6","38.4","-59.0","19.7"
"2006","Astros","2393","6326","174","735","708","79","9.2 %","17.0 %",".154",".286",".255",".332",".409",".322","90","5.7","-82.5","74.7","19.7"
"2005","Angels","2234","6186","147","761","726","161","7.2 %","13.7 %",".139",".294",".270",".325",".409",".319","96","3.3","-30.8","17.0","19.6"
"2006","Nationals","2430","6283","164","746","695","123","9.5 %","18.4 %",".156",".301",".262",".338",".418",".327","96","3.3","-27.3","18.8","19.5"
"2014","Rockies","2387","6164","186","755","721","85","6.4 %","20.8 %",".169",".326",".276",".327",".445",".337","97","-10.7","-31.5","25.5","19.4"
"2005","Brewers","2226","6156","175","726","689","79","8.6 %","18.9 %",".163",".298",".259",".331",".423",".327","95","-5.2","-44.4","37.3","19.4"
"2013","Nationals","2241","6047","161","656","621","88","7.7 %","19.7 %",".146",".292",".251",".313",".398",".311","94","4.4","-33.4","32.9","19.3"
"2006","White Sox","2286","6318","236","868","839","93","7.9 %","16.7 %",".184",".305",".280",".342",".464",".346","103","-8.4","14.4","-34.1","19.3"
"2011","Mets","2383","6335","108","718","676","130","9.0 %","17.1 %",".127",".307",".264",".335",".391",".319","102","11.1","25.0","-39.9","19.3"
"2013","Cubs","2294","6079","172","602","576","63","7.2 %","20.2 %",".154",".275",".238",".300",".392",".304","90","-10.7","-77.1","75.3","19.2"
"2012","Red Sox","2317","6166","165","734","695","97","6.9 %","19.4 %",".155",".301",".260",".315",".415",".316","95","3.1","-36.6","15.7","19.2"
"2009","Rockies","2352","6241","190","804","760","106","10.6 %","20.5 %",".180",".305",".261",".343",".441",".341","96","5.3","-29.7","21.1","19.2"
"2005","Blue Jays","2281","6233","136","775","735","72","7.8 %","15.3 %",".142",".296",".265",".331",".407",".323","94","12.3","-33.3","13.6","19.1"
"2013","Mets","2378","6207","130","619","593","114","8.2 %","22.3 %",".129",".291",".237",".306",".366",".297","90","24.8","-47.4","40.3","19.1"
